distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
9,9,0.01,cm,0.1,1000000,113212,0.113212,0.0003168517682702749,205.3231,205.3231,0,1
9,9,0.01,cm,0.2,1000000,103584,0.103584,0.00030472012559724373,207.9887,207.9887,0,1
9,9,0.01,cm,0.3,1000000,97387,0.097387,0.0002964840168221552,208.577,208.577,0,1
9,9,0.01,cm,0.4,1000000,94278,0.094278,0.00029221508981570405,209.4405,209.4405,0,1
9,9,0.01,cm,0.5,1000000,91983,0.091983,0.0002890019510505076,210.5986,210.5986,0,1
9,9,0.01,cm,0.6,1000000,90593,0.090593,0.0002870294555459422,211.643,211.643,0,1
9,9,0.01,cm,0.7,1000000,89525,0.089525,0.00028550004268826303,212.6152,212.6152,0,1
9,9,0.01,cm,0.8,1000000,88888,0.088888,0.00028458201534179914,213.3366,213.3366,0,1
9,9,0.01,cm,0.9,1000000,88770,0.08877,0.0002844114749794741,213.9556,213.9556,1,1
9,9,0.01,cm,1.0,1000000,88944,0.088944,0.00028466289688682645,170.3324,170.3324,0,1
9,9,0.01,mwpm,,1000000,121185,0.121185,0.00032634214526321907,66.7773,66.7773,0,1
