distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,7e-05,cm,0.04,147000000,505,3.435374149659864e-06,1.5287188063942118e-07,10.1632,0.0691,1,1
3,3,7e-05,cm,0.07,147000000,507,3.448979591836735e-06,1.5317429706537862e-07,10.1722,0.0692,0,1
3,3,7e-05,cm,0.1,147000000,508,3.4557823129251703e-06,1.5332528159487637e-07,10.1674,0.0692,0,1
3,3,7e-05,cm,1.0,147000000,572,3.891156462585034e-06,1.6269710853533304e-07,9.6754,0.0658,0,1
3,3,7e-05,mwpm,,147000000,577,3.9251700680272105e-06,1.6340664731953804e-07,5.36,0.0365,0,1
