distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,0.0002,cm,0.05,77000000,2068,2.6857142857142857e-05,5.905799653457587e-07,7.3646,0.0956,0,0
3,3,0.0002,cm,0.1,77000000,2034,2.6415584415584414e-05,5.857051098859823e-07,7.383,0.0959,0,0
3,3,0.0002,cm,0.2,77000000,2015,2.616883116883117e-05,5.829631691948865e-07,7.3797,0.0958,0,0
3,3,0.0002,cm,0.3,77000000,2013,2.6142857142857144e-05,5.826737931906128e-07,7.3882,0.096,1,0
3,3,0.0002,cm,0.4,77000000,2086,2.709090909090909e-05,5.93144549666773e-07,7.3893,0.096,0,0
3,3,0.0002,cm,0.5,77000000,2104,2.7324675324675326e-05,5.956980919153651e-07,7.396,0.0961,0,0
3,3,0.0002,cm,0.6,77000000,2104,2.7324675324675326e-05,5.956980919153651e-07,7.3993,0.0961,0,0
3,3,0.0002,cm,0.7,77000000,2101,2.7285714285714286e-05,5.952732623130387e-07,7.4031,0.0961,0,0
3,3,0.0002,cm,0.8,77000000,2113,2.744155844155844e-05,5.969707665668715e-07,7.4037,0.0962,0,0
3,3,0.0002,cm,0.9,77000000,2118,2.7506493506493508e-05,5.976766369272615e-07,7.4144,0.0963,0,0
3,3,0.0002,cm,1.0,77000000,2131,2.7675324675324676e-05,5.995080098869036e-07,6.5453,0.085,0,0
3,3,0.0002,mwpm,,77000000,2374,3.083116883116883e-05,6.327657110396374e-07,3.2613,0.0424,0,0
