distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.0004,cm,0.1,19459000000,0,0.0,0.0,263122.2003,13.5219,1,1
11,11,0.0004,cm,0.2,19459000000,0,0.0,0.0,263323.2526,13.5322,0,1
11,11,0.0004,cm,0.3,19459000000,1,5.139010226630351e-11,5.139010226498304e-11,265239.7197,13.6307,0,1
11,11,0.0004,cm,0.4,19459000000,1,5.139010226630351e-11,5.139010226498304e-11,279539.6698,14.3656,0,1
11,11,0.0004,cm,0.5,19459000000,1,5.139010226630351e-11,5.139010226498304e-11,292233.507,15.0179,0,1
11,11,0.0004,cm,0.6,19459000000,2,1.0278020453260702e-10,7.26765795930119e-11,285474.377,14.6706,0,1
11,11,0.0004,cm,0.7,19459000000,2,1.0278020453260702e-10,7.26765795930119e-11,265295.4739,13.6336,0,1
11,11,0.0004,cm,0.8,19459000000,2,1.0278020453260702e-10,7.26765795930119e-11,266973.4104,13.7198,0,1
11,11,0.0004,cm,0.9,19459000000,2,1.0278020453260702e-10,7.26765795930119e-11,274508.5239,14.107,0,1
11,11,0.0004,cm,1.0,19459000000,3,1.5417030679891053e-10,8.901026812453681e-11,186967.6247,9.6083,0,1
11,11,0.0004,mwpm,,19459000000,13,6.680713294619457e-10,1.852896487106021e-10,62058.7198,3.1892,0,1
