distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.002,cm,0.1,196000000,1066,5.438775510204081e-06,1.6657942167058721e-07,14741.4959,75.2117,0,0
11,11,0.002,cm,0.2,196000000,750,3.826530612244898e-06,1.397248748891829e-07,14906.0523,76.0513,0,0
11,11,0.002,cm,0.3,196000000,617,3.1479591836734696e-06,1.2673186530548822e-07,14917.4282,76.1093,0,0
11,11,0.002,cm,0.4,196000000,556,2.836734693877551e-06,1.203041775534218e-07,14893.3171,75.9863,0,0
11,11,0.002,cm,0.5,196000000,518,2.642857142857143e-06,1.1612032284825945e-07,14948.9688,76.2702,0,0
11,11,0.002,cm,0.6,196000000,505,2.576530612244898e-06,1.146539597146095e-07,15006.4418,76.5635,0,0
11,11,0.002,cm,0.7,196000000,503,2.566326530612245e-06,1.1442669751855096e-07,15054.679,76.8096,1,0
11,11,0.002,cm,0.8,196000000,509,2.596938775510204e-06,1.1510713801292486e-07,15087.146,76.9752,0,0
11,11,0.002,cm,0.9,196000000,516,2.6326530612244897e-06,1.1589593613260476e-07,15066.497,76.8699,0,0
11,11,0.002,cm,1.0,196000000,516,2.6326530612244897e-06,1.1589593613260476e-07,10221.3446,52.1497,0,0
11,11,0.002,mwpm,,196000000,3156,1.610204081632653e-05,2.8662160880812096e-07,2911.1969,14.853,0,0
