distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.001,cm,0.1,10044000000,513,5.1075268817204303e-08,2.2550281488846582e-09,321180.8328,31.9774,0,0
11,11,0.001,cm,0.2,10044000000,359,3.574273197929112e-08,1.8864292097652694e-09,323034.463,32.1619,0,0
11,11,0.001,cm,0.3,10044000000,318,3.1660692951015535e-08,1.7754434705128925e-09,322962.7355,32.1548,0,0
11,11,0.001,cm,0.4,10044000000,302,3.0067702110712863e-08,1.730201805627468e-09,323151.5889,32.1736,0,0
11,11,0.001,cm,0.5,10044000000,299,2.9769016328156113e-08,1.7215866396269787e-09,324921.3738,32.3498,0,0
11,11,0.001,cm,0.6,10044000000,295,2.9370768618080445e-08,1.7100322366674541e-09,325047.8243,32.3624,1,0
11,11,0.001,cm,0.7,10044000000,299,2.9769016328156113e-08,1.7215866396269787e-09,325274.437,32.3849,0,0
11,11,0.001,cm,0.8,10044000000,309,3.076463560334528e-08,1.750138944728243e-09,325953.9045,32.4526,0,0
11,11,0.001,cm,0.9,10044000000,314,3.1262445240939864e-08,1.7642418229473694e-09,326014.3826,32.4586,0,0
11,11,0.001,cm,1.0,10044000000,326,3.2457188371166864e-08,1.7976373747762733e-09,222530.7733,22.1556,0,0
11,11,0.001,mwpm,,10044000000,2248,2.238152130625249e-07,4.720536943312861e-09,69228.117,6.8925,0,0
