distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.0007,cm,0.1,10968000000,55,5.014587892049599e-09,6.761668917305866e-10,269520.7171,24.5734,0,0
11,11,0.0007,cm,0.2,10968000000,42,3.829321663019694e-09,5.908771595550182e-10,284187.1591,25.9106,0,0
11,11,0.0007,cm,0.3,10968000000,36,3.2822757111597375e-09,5.470459509621784e-10,292350.9708,26.6549,0,0
11,11,0.0007,cm,0.4,10968000000,37,3.37345003646973e-09,5.545917687854004e-10,282647.8358,25.7702,0,0
11,11,0.0007,cm,0.5,10968000000,36,3.2822757111597375e-09,5.470459509621784e-10,281709.1477,25.6846,0,0
11,11,0.0007,cm,0.6,10968000000,35,3.1911013858497446e-09,5.393945818435641e-10,269735.7517,24.593,0,0
11,11,0.0007,cm,0.7,10968000000,34,3.099927060539752e-09,5.316331041035319e-10,271304.1225,24.736,1,0
11,11,0.0007,cm,0.8,10968000000,34,3.099927060539752e-09,5.316331041035319e-10,284751.0782,25.962,0,0
11,11,0.0007,cm,0.9,10968000000,36,3.2822757111597375e-09,5.470459509621784e-10,283058.5735,25.8077,0,0
11,11,0.0007,cm,1.0,10968000000,40,3.6469730123997083e-09,5.766370631659388e-10,185104.0208,16.8767,0,0
11,11,0.0007,mwpm,,10968000000,277,2.525528811086798e-08,1.5174431771450907e-09,55187.8539,5.0317,0,0
