distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
11,11,0.01,cm,0.1,1000000,130925,0.130925,0.0003373183131331592,505.9442,505.9442,0,0
11,11,0.01,cm,0.2,1000000,117717,0.117717,0.0003222727228776894,487.3997,487.3997,0,0
11,11,0.01,cm,0.3,1000000,109169,0.109169,0.00031185113345793696,495.6862,495.6862,0,0
11,11,0.01,cm,0.4,1000000,104809,0.104809,0.000306307155513873,497.2101,497.2101,0,0
11,11,0.01,cm,0.5,1000000,102072,0.102072,0.0003027429715385644,499.2332,499.2332,0,0
11,11,0.01,cm,0.6,1000000,100389,0.100389,0.00030051796731476804,498.1451,498.1451,0,0
11,11,0.01,cm,0.7,1000000,98897,0.098897,0.0002985236730830572,505.0899,505.0899,0,0
11,11,0.01,cm,0.8,1000000,98255,0.098255,0.00029765912546905055,509.7839,509.7839,1,0
11,11,0.01,cm,0.9,1000000,98257,0.098257,0.0002976618248129914,483.5847,483.5847,0,0
11,11,0.01,cm,1.0,1000000,98525,0.098525,0.0002980231943574191,379.3612,379.3612,0,0
11,11,0.01,mwpm,,1000000,142492,0.142492,0.000349554044370824,144.5083,144.5083,0,0
