distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
7,7,0.0001,cm,0.1,7485000000,5,6.680026720106881e-10,2.9873987665369943e-10,4332.9915,0.5789,1,1
7,7,0.0001,cm,0.2,7485000000,5,6.680026720106881e-10,2.9873987665369943e-10,4335.405,0.5792,0,1
7,7,0.0001,cm,0.3,7485000000,5,6.680026720106881e-10,2.9873987665369943e-10,4336.3693,0.5793,0,1
7,7,0.0001,cm,0.4,7485000000,6,8.016032064128256e-10,3.272531385172236e-10,4338.7588,0.5797,0,1
7,7,0.0001,cm,0.5,7485000000,6,8.016032064128256e-10,3.272531385172236e-10,4352.0281,0.5814,0,1
7,7,0.0001,cm,0.6,7485000000,6,8.016032064128256e-10,3.272531385172236e-10,4353.4747,0.5816,0,1
7,7,0.0001,cm,0.7,7485000000,8,1.0688042752171008e-09,3.7787937518165295e-10,4357.8132,0.5822,0,1
7,7,0.0001,cm,0.8,7485000000,10,1.3360053440213761e-09,4.224819850442177e-10,4361.0259,0.5826,0,1
7,7,0.0001,cm,0.9,7485000000,10,1.3360053440213761e-09,4.224819850442177e-10,4361.9118,0.5828,0,1
7,7,0.0001,cm,1.0,7485000000,10,1.3360053440213761e-09,4.224819850442177e-10,3306.563,0.4418,0,1
7,7,0.0001,mwpm,,7485000000,11,1.4696058784235136e-09,4.431028440772657e-10,2029.6691,0.2712,0,1
