dem,s,p_med,n_shots,mwpm_err,cm_err_a0.1,cm_err_a0.3,cm_err_a0.5,cm_err_a0.7,cm_err_a0.9,cm_err_a1.0,mwpm_ler_ratio,cm_ler_ratio_a0.1,cm_ler_ratio_a0.3,cm_ler_ratio_a0.5,cm_ler_ratio_a0.7,cm_ler_ratio_a0.9,cm_ler_ratio_a1.0
pij,1.0,0.002420417695721001,500000,72507,71207,63016,59650,58646,58973,59272,1.0,0.9820706966223951,0.8691022935716551,0.8226791895954874,0.8088322506792448,0.8133421600673039,0.817465899844153
pij,0.6,0.0014522506174326003,500000,23010,20723,16959,15865,15378,15468,15618,1.0,0.9006084311169057,0.7370273794002608,0.6894828335506301,0.6683181225554107,0.6722294654498044,0.678748370273794
pij,0.4,0.0009681670782884003,500000,7967,6532,5257,4835,4719,4720,4780,1.0,0.8198820133048826,0.659846868331869,0.6068783732898205,0.5923183130412953,0.5924438308020585,0.5999748964478474
pij,0.25,0.0006051044239302503,500000,2127,1502,1151,1065,1062,1106,1136,1.0,0.7061589092618712,0.5411377527033381,0.5007052186177715,0.4992947813822285,0.5199811941701927,0.5340855665256229
pij,0.15,0.00036306265435815006,1500000,1444,935,738,714,730,760,778,1.0,0.6475069252077562,0.5110803324099723,0.49445983379501385,0.5055401662049861,0.5263157894736842,0.538781163434903
