p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.0002,1.01e-06,7.106331613075765e-08,9.5e-07,6.892021102332755e-08,6.7e-07,5.787916512442107e-08
0.0001,1.7e-07,2.915475699607184e-08,2.4e-07,3.464101199445536e-08,1.45e-07,2.6925822083550207e-08
