p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.001,0.000131,5.722386717970047e-06,7.8e-05,4.415708210468622e-06,9.125e-05,4.77602537256399e-06
0.0008,6.583333333333334e-05,2.799425946799407e-06,3.6666666666666666e-05,2.0892389313262645e-06,4.440476190476191e-05,2.29914037046049e-06
0.0006,3.061728395061729e-05,1.3747355869793489e-06,1.8641975308641974e-05,1.0727151367118746e-06,2.08641975308642e-05,1.1348508961757762e-06
0.0004,7.563636363636364e-06,3.7083638036302657e-07,5.981818181818182e-06,3.29787325399248e-07,5.472727272727273e-06,3.1544189270359565e-07
