p,bp_iters,ler_mean,ler_std,n_shots,n_errors
0.01,5,0.07376,0.0008265558807485433,100000,7376
0.01,mwpm,0.10069,0.0009515856445953775,100000,10069
0.007,5,0.02128,0.0004563678516284862,100000,2128
0.007,mwpm,0.03253,0.000560997318175408,100000,3253
0.004,5,0.002416,6.942856680070532e-05,500000,1208
0.004,mwpm,0.004156,9.098052169558053e-05,500000,2078
0.002,5,0.00015272727272727272,4.810089571197729e-06,6600000,1008
0.002,mwpm,0.00027666666666666665,6.473607516377114e-06,6600000,1826
0.001,5,1.0090817356205853e-05,3.190980529914208e-07,99100000,1000
0.001,mwpm,1.7214934409687183e-05,4.167850386871699e-07,99100000,1706
