step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
15988,164,5.0099363,0.0,-0.3735816,-0.35563165,1,[np.float32(4.951692)],[np.float32(0.032502197)],0.032502197,5.184434,fixed,fixed
15988,169,6.088874,0.0,-0.37300482,-0.73750734,2,"[np.float32(5.2083592), np.float32(4.5525913)]","[np.float32(0.07279101), np.float32(0.17459728)]",0.17459728,4.5525913,fixed,fixed
15988,170,6.088501,0.0,-0.42697558,-0.34843796,1,[np.float32(4.5525913)],[np.float32(0.022736935)],0.022736935,4.5525913,fixed,fixed
15988,172,5.0934668,0.0,-0.39170933,-0.5748169,3,"[np.float32(5.2083592), np.float32(4.5525913), np.float32(4.951692)]","[np.float32(0.087324865), np.float32(0.093068875), np.float32(0.07544661)]",0.093068875,6.9761195,fixed,fixed
15988,174,6.214031,0.0,-0.41703016,-0.5984612,1,[np.float32(4.5525913)],[np.float32(0.08361014)],0.08361014,5.284512,fixed,fixed
15988,176,6.088874,0.0,-0.40307596,-0.6336149,1,[np.float32(4.5525913)],[np.float32(0.105595194)],0.105595194,5.284512,fixed,fixed
15988,179,5.184434,0.0,-0.38484266,-0.53716046,1,[np.float32(4.951692)],[np.float32(0.079511344)],0.079511344,6.9761195,fixed,fixed
15988,187,5.4253707,0.0,-0.37727448,-0.4387185,2,"[np.float32(4.5525913), np.float32(4.951692)]","[np.float32(0.032927886), np.float32(0.042770606)]",0.042770606,5.0934668,fixed,fixed
15988,197,6.7248263,0.0,-0.39995322,-0.90187836,1,[np.float32(5.0934668)],[np.float32(0.21994561)],0.21994561,5.0934668,fixed,fixed
15988,198,5.5545464,0.0,-0.3955208,-0.49392095,1,[np.float32(5.0934668)],[np.float32(0.050411604)],0.050411604,5.0934668,fixed,fixed
15988,205,5.184434,0.0,-0.38970593,-0.41989845,1,[np.float32(5.0934668)],[np.float32(0.04016033)],0.04016033,6.7248263,fixed,fixed
15988,208,7.5358305,0.0,-0.44683778,-0.8901777,1,[np.float32(5.0934668)],[np.float32(0.14657553)],0.14657553,5.0934668,fixed,fixed
15988,209,5.4253707,0.0,-0.4084882,-0.32496184,1,[np.float32(5.0934668)],[np.float32(0.020732379)],0.020732379,8.228977,fixed,fixed
