p,static_mean,static_std,corr_mean,corr_std,neural_mean,neural_std
0.001,0.000131,5.722386717970047e-06,7.8e-05,4.415708210468622e-06,9.9e-05,4.974690920047194e-06
0.0008,6.583333333333334e-05,2.799425946799407e-06,3.6666666666666666e-05,2.0892389313262645e-06,4.761904761904762e-05,2.380895690935088e-06
0.0006,3.061728395061729e-05,1.3747355869793489e-06,1.8641975308641974e-05,1.0727151367118746e-06,2.265432098765432e-05,1.1825325347074645e-06
0.0004,7.5095785440613025e-06,3.792895695794826e-07,5.9386973180076625e-06,3.372943406284167e-07,5.78544061302682e-06,3.3291373422970827e-07
