p,decoder,shots,ler,ler_std
0.0002,mwpm,196900000,1.1782630777044184e-06,7.735671527852166e-08
0.0002,cm_logodds,196900000,1.015744032503809e-06,7.1823912855938e-08
0.0002,cm_fowler,196900000,8.98933468765871e-07,6.756794675410234e-08
0.0004,mwpm,31000000,8.387096774193549e-06,5.201434799199795e-07
0.0004,cm_logodds,31000000,6.451612903225806e-06,4.561964517375818e-07
0.0004,cm_fowler,31000000,6.064516129032258e-06,4.4229895562939207e-07
