distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,0.001,cm,0.6,1000000,636,0.000636,2.5211019495450796e-05,0.1674,0.1674,0,0
3,3,0.001,cm,0.7,1000000,631,0.000631,2.5111786853985523e-05,0.1676,0.1676,1,0
3,3,0.001,cm,0.8,1000000,666,0.000666,2.5798380646854564e-05,0.1706,0.1706,0,0
3,3,0.001,cm,0.9,1000000,669,0.000669,2.58563810112707e-05,0.1686,0.1686,0,0
3,3,0.001,cm,1.0,1000000,681,0.000681,2.6087089508030595e-05,0.1271,0.1271,0,0
3,3,0.001,mwpm,,1000000,761,0.000761,2.7575729890612142e-05,0.0533,0.0533,0,0
3,3,0.002,cm,0.1,1000000,2827,0.002827,5.309433181611762e-05,0.3106,0.3106,0,1
3,3,0.002,cm,0.2,1000000,2730,0.00273,5.2178032734092225e-05,0.3128,0.3128,0,1
3,3,0.002,cm,0.3,1000000,2697,0.002697,5.1862570231333505e-05,0.3146,0.3146,0,1
3,3,0.002,cm,0.4,1000000,2677,0.002677,5.1670433237974695e-05,0.3158,0.3158,0,1
3,3,0.002,cm,0.5,1000000,2664,0.002664,5.154515597027523e-05,0.3166,0.3166,0,1
3,3,0.002,cm,0.6,1000000,2656,0.002656,5.14679090696329e-05,0.3172,0.3172,0,1
3,3,0.002,cm,0.7,1000000,2657,0.002657,5.14775713393707e-05,0.3177,0.3177,0,1
3,3,0.002,cm,0.8,1000000,2663,0.002663,5.153550650764966e-05,0.3183,0.3183,0,1
3,3,0.002,cm,0.9,1000000,2639,0.002639,5.1303369080402505e-05,0.3181,0.3181,1,1
3,3,0.002,cm,1.0,1000000,2657,0.002657,5.14775713393707e-05,0.2362,0.2362,0,1
3,3,0.002,mwpm,,1000000,3016,0.003016,5.483524180670675e-05,0.0898,0.0898,0,1
3,3,0.004,cm,0.1,1000000,10919,0.010919,0.00010392196802890138,0.5938,0.5938,0,1
3,3,0.004,cm,0.2,1000000,10673,0.010673,0.00010275741856917192,0.6067,0.6067,0,1
3,3,0.004,cm,0.3,1000000,10478,0.010478,0.0001018244151272179,0.6156,0.6156,0,1
3,3,0.004,cm,0.4,1000000,10389,0.010389,0.0001013956048307815,0.6206,0.6206,0,1
3,3,0.004,cm,0.5,1000000,10244,0.010244,0.00010069290175578416,0.6233,0.6233,0,1
3,3,0.004,cm,0.6,1000000,10207,0.010207,0.00010051277108407668,0.6278,0.6278,0,1
3,3,0.004,cm,0.7,1000000,10171,0.010171,0.00010033718532528207,0.6307,0.6307,0,1
3,3,0.004,cm,0.8,1000000,10157,0.010157,0.00010026881544627921,0.6331,0.6331,0,1
3,3,0.004,cm,0.9,1000000,10141,0.010141,0.00010019061891714215,0.6346,0.6346,1,1
3,3,0.004,cm,1.0,1000000,10176,0.010176,0.00010036159137837541,0.4806,0.4806,0,1
3,3,0.004,mwpm,,1000000,11313,0.011313,0.00010575923614985124,0.1659,0.1659,0,1
3,3,0.007,cm,0.1,1000000,30886,0.030886,0.0001730088292660233,1.0119,1.0119,0,1
3,3,0.007,cm,0.2,1000000,30343,0.030343,0.00017152930464209314,1.0481,1.0481,0,1
3,3,0.007,cm,0.3,1000000,29933,0.029933,0.00017040251028373966,1.0622,1.0622,0,1
3,3,0.007,cm,0.4,1000000,29621,0.029621,0.00016953936521940855,1.0769,1.0769,0,1
3,3,0.007,cm,0.5,1000000,29449,0.029449,0.0001690613983113827,1.0923,1.0923,0,1
3,3,0.007,cm,0.6,1000000,29310,0.02931,0.0001686740166712111,1.0987,1.0987,0,1
3,3,0.007,cm,0.7,1000000,29207,0.029207,0.00016838631521296497,1.101,1.101,0,1
3,3,0.007,cm,0.8,1000000,29143,0.029143,0.00016820726961400926,1.1037,1.1037,0,1
3,3,0.007,cm,0.9,1000000,29129,0.029129,0.0001681680747317992,1.1114,1.1114,1,1
3,3,0.007,cm,1.0,1000000,29220,0.02922,0.000168422657620642,0.8674,0.8674,0,1
3,3,0.007,mwpm,,1000000,31286,0.031286,0.0001740895924631912,0.2993,0.2993,0,1
3,3,0.01,cm,0.1,1000000,58000,0.058,0.00023374344910606585,1.4446,1.4446,0,1
3,3,0.01,cm,0.2,1000000,57125,0.057125,0.00023208130983558327,1.4783,1.4783,0,1
3,3,0.01,cm,0.3,1000000,56593,0.056593,0.00023106326482372745,1.5061,1.5061,0,1
3,3,0.01,cm,0.4,1000000,55934,0.055934,0.00022979422891796042,1.5251,1.5251,0,1
3,3,0.01,cm,0.5,1000000,55671,0.055671,0.0002292852802929137,1.5475,1.5475,0,1
3,3,0.01,cm,0.6,1000000,55398,0.055398,0.00022875546243969784,1.5662,1.5662,0,1
3,3,0.01,cm,0.7,1000000,55370,0.05537,0.00022870103432210358,1.578,1.578,0,1
3,3,0.01,cm,0.8,1000000,55293,0.055293,0.00022855127247731527,1.5847,1.5847,0,1
3,3,0.01,cm,0.9,1000000,55211,0.055211,0.0002283916493197595,1.5944,1.5944,1,1
3,3,0.01,cm,1.0,1000000,55248,0.055248,0.00022846369185496415,1.2723,1.2723,0,1
3,3,0.01,mwpm,,1000000,58140,0.05814,0.00023400799217120768,0.4483,0.4483,0,1
5,5,0.0001,cm,0.1,7225000000,500,6.920415224913495e-08,3.0949036679961162e-09,1403.1668,0.1942,1,1
5,5,0.0001,cm,0.2,7225000000,552,7.640138408304498e-08,3.251858733761716e-09,1402.1867,0.1941,0,1
5,5,0.0001,cm,0.3,7225000000,600,8.304498269896194e-08,3.3902970810716394e-09,1402.4992,0.1941,0,1
5,5,0.0001,cm,0.4,7225000000,659,9.121107266435987e-08,3.553078773044614e-09,1403.377,0.1942,0,1
5,5,0.0001,cm,0.5,7225000000,763,1.0560553633217993e-07,3.823176910079469e-09,1407.4495,0.1948,0,1
5,5,0.0001,cm,0.6,7225000000,816,1.1294117647058823e-07,3.953731778691861e-09,1408.1475,0.1949,0,1
5,5,0.0001,cm,0.7,7225000000,881,1.2193771626297577e-07,4.108185792339882e-09,1409.9145,0.1951,0,1
5,5,0.0001,cm,0.8,7225000000,927,1.2830449826989618e-07,4.214072351841375e-09,1411.1804,0.1953,0,1
5,5,0.0001,cm,0.9,7225000000,1015,1.4048442906574394e-07,4.40955881056009e-09,1411.0667,0.1953,0,1
5,5,0.0001,cm,1.0,7225000000,1146,1.586159169550173e-07,4.6854836089742675e-09,1131.5895,0.1566,0,1
5,5,0.0001,mwpm,,7225000000,955,1.3217993079584775e-07,4.27724183229643e-09,703.5207,0.0974,0,1
5,5,0.0002,cm,0.1,891000000,507,5.69023569023569e-07,2.5271216713960982e-08,277.0301,0.3109,0,0
5,5,0.0002,cm,0.2,891000000,500,5.611672278338944e-07,2.5096154322061363e-08,277.2193,0.3111,1,0
5,5,0.0002,cm,0.3,891000000,519,5.824915824915824e-07,2.5568535201741023e-08,277.3547,0.3113,0,0
5,5,0.0002,cm,0.4,891000000,521,5.847362514029181e-07,2.5617752803141555e-08,277.6363,0.3116,0,0
5,5,0.0002,cm,0.5,891000000,551,6.184062850729518e-07,2.6344985331721863e-08,278.4937,0.3126,0,0
5,5,0.0002,cm,0.6,891000000,579,6.498316498316498e-07,2.7006072966071825e-08,278.7315,0.3128,0,0
5,5,0.0002,cm,0.7,891000000,603,6.767676767676767e-07,2.7560101017107378e-08,279.2961,0.3135,0,0
5,5,0.0002,cm,0.8,891000000,632,7.093153759820427e-07,2.821504070033161e-08,279.5665,0.3138,0,0
5,5,0.0002,cm,0.9,891000000,681,7.643097643097643e-07,2.9288402613572356e-08,279.7066,0.3139,0,0
5,5,0.0002,cm,1.0,891000000,760,8.529741863075196e-07,3.094061251037056e-08,210.4918,0.2362,0,0
5,5,0.0002,mwpm,,891000000,900,1.01010101010101e-06,3.367001666496187e-08,110.2509,0.1237,0,0
5,5,0.0004,cm,0.1,102000000,537,5.264705882352941e-06,2.2718822992384647e-07,56.411,0.553,0,0
5,5,0.0004,cm,0.2,102000000,516,5.058823529411765e-06,2.227017247640991e-07,56.4667,0.5536,0,0
5,5,0.0004,cm,0.3,102000000,502,4.92156862745098e-06,2.1965981732931783e-07,56.3096,0.5521,1,0
5,5,0.0004,cm,0.4,102000000,510,5e-06,2.2140316787502848e-07,56.5265,0.5542,0,0
5,5,0.0004,cm,0.5,102000000,527,5.166666666666667e-06,2.2506295355078362e-07,56.764,0.5565,0,0
5,5,0.0004,cm,0.6,102000000,534,5.235294117647059e-06,2.265527404584654e-07,56.7522,0.5564,0,0
5,5,0.0004,cm,0.7,102000000,546,5.352941176470588e-06,2.2908412108705596e-07,56.9554,0.5584,0,0
5,5,0.0004,cm,0.8,102000000,566,5.549019607843138e-06,2.33242044107524e-07,56.9061,0.5579,0,0
5,5,0.0004,cm,0.9,102000000,582,5.705882352941177e-06,2.3651575820832807e-07,57.0184,0.559,0,0
