step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
7545,8,4.8615465,0.0,-0.61285555,-0.87100667,1,[np.float32(5.877573)],[np.float32(0.0532357)],0.0532357,5.184434,fixed,fixed
7545,12,4.411208,0.0,-0.5692437,-1.4704014,3,"[np.float32(6.842684), np.float32(5.877573), np.float32(6.7248263)]","[np.float32(0.033946827), np.float32(0.040589653), np.float32(0.15543056)]",0.15543056,6.214031,fixed,fixed
7545,18,4.8111362,0.0,-0.6212669,-1.2378639,1,[np.float32(6.842684)],[np.float32(0.08839323)],0.08839323,7.5358305,fixed,fixed
7545,21,6.088874,0.0,-0.7458124,-1.3813437,1,[np.float32(6.842684)],[np.float32(0.08446663)],0.08446663,6.7248263,fixed,fixed
7545,25,5.2083592,0.0,-0.6504584,-0.95436126,1,[np.float32(5.0934668)],[np.float32(0.087324865)],0.087324865,4.5525913,fixed,fixed
7545,27,4.8111362,0.0,-0.6232312,-0.5753982,1,[np.float32(5.0934668)],[np.float32(0.031217033)],0.031217033,7.5358305,fixed,fixed
7545,28,6.842684,0.0,-0.787277,-1.3574401,1,[np.float32(6.088874)],[np.float32(0.08446663)],0.08446663,4.8111362,fixed,fixed
7545,30,4.5525913,0.0,-0.59375,-0.88719004,1,[np.float32(5.0934668)],[np.float32(0.093068875)],0.093068875,6.214031,fixed,fixed
7545,32,5.977319,0.0,-0.7283375,-1.0689851,1,[np.float32(6.088874)],[np.float32(0.05349227)],0.05349227,6.088874,fixed,fixed
7545,36,5.0301485,0.0,-0.63041127,-0.4632958,1,[np.float32(4.5525913)],[np.float32(0.024382805)],0.024382805,5.1152887,fixed,fixed
7545,40,4.8111362,0.0,-0.6218276,-0.63011235,1,[np.float32(4.5525913)],[np.float32(0.049403396)],0.049403396,7.5358305,fixed,fixed
7545,47,5.901499,0.0,-0.7226517,-0.9935665,1,[np.float32(4.5525913)],[np.float32(0.09528099)],0.09528099,4.5525913,fixed,fixed
7545,50,6.842684,0.0,-0.7831212,-1.0674742,1,[np.float32(4.5525913)],[np.float32(0.07710127)],0.07710127,6.088874,fixed,fixed
7545,52,7.5358305,0.0,-0.81873685,-1.0631732,1,[np.float32(4.5525913)],[np.float32(0.054496072)],0.054496072,4.8111362,fixed,fixed
7545,53,5.786329,0.0,-0.706843,-0.7153559,1,[np.float32(4.5525913)],[np.float32(0.041849934)],0.041849934,6.088874,fixed,fixed
7545,54,7.5358305,0.0,-0.81873685,-1.0631732,1,[np.float32(4.5525913)],[np.float32(0.054496072)],0.054496072,4.8111362,fixed,fixed
7545,55,5.2083592,0.0,-0.6504584,-0.7078059,1,[np.float32(5.0934668)],[np.float32(0.0407778)],0.0407778,4.951692,fixed,fixed
7545,60,4.951692,0.0,-0.63997406,-0.8688056,1,[np.float32(5.0934668)],[np.float32(0.07544661)],0.07544661,5.2083592,fixed,fixed
7545,63,8.228977,0.0,-0.8670087,-1.294222,1,[np.float32(4.5525913)],[np.float32(0.078724585)],0.078724585,4.5525913,fixed,fixed
7545,64,6.088501,0.0,-0.73663044,-0.58072996,1,[np.float32(4.5525913)],[np.float32(0.022736935)],0.022736935,4.5525913,fixed,fixed
7545,65,7.5358305,0.0,-0.82755214,-1.2985231,1,[np.float32(4.5525913)],[np.float32(0.11134854)],0.11134854,4.5525913,fixed,fixed
7545,66,5.901499,0.0,-0.7119071,-0.9935665,1,[np.float32(4.5525913)],[np.float32(0.09528099)],0.09528099,6.088874,fixed,fixed
7545,72,5.184434,0.0,-0.72822607,-1.2467588,1,[np.float32(5.877573)],[np.float32(0.13178323)],0.13178323,4.8615465,fixed,fixed
7545,75,5.0934668,0.0,-0.70719165,-0.7242225,1,[np.float32(4.5525913)],[np.float32(0.0593831)],0.0593831,6.5241694,fixed,fixed
7545,80,5.977319,0.0,-0.7274906,-0.9947844,1,[np.float32(5.877573)],[np.float32(0.04764821)],0.04764821,6.088874,fixed,fixed
7545,82,7.5358305,0.0,-0.8211487,-1.5142883,1,[np.float32(5.877573)],[np.float32(0.10823412)],0.10823412,5.877573,fixed,fixed
7545,83,5.877573,0.0,-0.70898587,-0.5104206,1,[np.float32(4.5525913)],[np.float32(0.019440975)],0.019440975,6.9761195,fixed,fixed
7545,86,5.184434,0.0,-0.66921,-1.4616389,1,[np.float32(5.877573)],[np.float32(0.2165618)],0.2165618,6.7248263,fixed,fixed
7545,99,6.214031,0.0,-0.73365736,-1.2106506,1,[np.float32(4.5525913)],[np.float32(0.1570683)],0.1570683,4.5525913,fixed,fixed
7545,102,5.0934668,0.0,-0.68781424,-0.48440185,1,[np.float32(4.5525913)],[np.float32(0.025679354)],0.025679354,6.7248263,fixed,fixed
7545,105,6.088874,0.0,-0.7273744,-1.2291789,1,[np.float32(4.5525913)],[np.float32(0.17459728)],0.17459728,4.5525913,fixed,fixed
7545,107,5.284512,0.0,-0.68263406,-0.78790426,1,[np.float32(4.5525913)],[np.float32(0.0667954)],0.0667954,6.088874,fixed,fixed
7545,113,5.877573,0.0,-0.7624721,-0.79443073,1,[np.float32(6.088874)],[np.float32(0.02407378)],0.02407378,6.9761195,fixed,fixed
7545,116,6.214031,0.0,-0.7441374,-1.0736886,1,[np.float32(5.877573)],[np.float32(0.054237153)],0.054237153,5.0934668,fixed,fixed
7545,124,7.5358305,0.0,-0.86830026,-1.3471832,1,[np.float32(6.088874)],[np.float32(0.059698556)],0.059698556,8.228977,fixed,fixed
7545,125,5.877573,0.0,-0.7077892,-0.5104206,1,[np.float32(4.5525913)],[np.float32(0.019440975)],0.019440975,6.9761195,fixed,fixed
7545,140,6.7248263,0.0,-0.8056455,-1.9018301,1,[np.float32(6.088874)],[np.float32(0.36320382)],0.36320382,6.088874,fixed,fixed
7545,142,5.786329,0.0,-0.7326585,-1.1510593,1,[np.float32(6.088874)],[np.float32(0.07359712)],0.07359712,6.088874,fixed,fixed
7545,144,5.877573,0.0,-0.7060856,-0.79443073,1,[np.float32(6.088874)],[np.float32(0.02407378)],0.02407378,6.9761195,fixed,fixed
7545,145,7.5358305,0.0,-0.83867335,-1.3471832,1,[np.float32(6.088874)],[np.float32(0.059698556)],0.059698556,7.5358305,fixed,fixed
7545,146,6.842684,0.0,-0.7974887,-1.5031776,1,[np.float32(6.088874)],[np.float32(0.12746923)],0.12746923,7.5358305,fixed,fixed
7545,151,6.357125,0.0,-0.7607224,-1.3805634,1,[np.float32(5.0934668)],[np.float32(0.18210293)],0.18210293,5.0934668,fixed,fixed
7545,153,7.5358305,0.0,-0.8382065,-1.2450897,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
7545,171,6.9761195,0.0,-0.8095387,-1.4951938,1,[np.float32(5.0934668)],[np.float32(0.19394967)],0.19394967,5.0934668,fixed,fixed
7545,175,5.5545464,0.0,-0.7050529,-0.58466166,1,[np.float32(5.0934668)],[np.float32(0.022772891)],0.022772891,8.228977,fixed,fixed
7545,176,6.088874,0.0,-0.7207635,-1.0013107,1,[np.float32(5.0934668)],[np.float32(0.06837011)],0.06837011,5.284512,fixed,fixed
7545,177,5.877573,0.0,-0.7446745,-0.6923372,1,[np.float32(5.0934668)],[np.float32(0.028311158)],0.028311158,6.7248263,fixed,fixed
7545,180,5.0934668,0.0,-0.6785245,-0.9160638,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
7545,187,5.4253707,0.0,-0.65908825,-1.0266985,1,[np.float32(5.0934668)],[np.float32(0.098482996)],0.098482996,5.0934668,fixed,fixed
7545,188,7.1303654,0.0,-0.7867149,-1.3484745,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
7545,201,5.877573,0.0,-0.71415067,-1.2096821,1,[np.float32(5.877573)],[np.float32(0.092942566)],0.092942566,5.184434,fixed,fixed
7545,256,5.284512,0.0,-0.7173068,-0.7331901,1,[np.float32(5.0934668)],[np.float32(0.04278246)],0.04278246,6.088874,fixed,fixed
7991,36,5.0301485,0.0,-0.63041127,-0.8949577,1,[np.float32(5.0934668)],[np.float32(0.078936815)],0.078936815,5.1152887,fixed,fixed
7991,38,5.1152887,0.0,-0.64119995,-0.92333776,1,[np.float32(5.0934668)],[np.float32(0.08286201)],0.08286201,5.0301485,fixed,fixed
7991,43,6.088874,0.0,-0.7441183,-2.0296233,1,[np.float32(6.7248263)],[np.float32(0.36320382)],0.36320382,6.7248263,fixed,fixed
7991,48,4.5525913,0.0,-0.5916992,-0.73577195,1,[np.float32(5.0934668)],[np.float32(0.0593831)],0.0593831,6.088874,fixed,fixed
7991,51,6.088874,0.0,-0.7443498,-0.76277083,1,[np.float32(5.0934668)],[np.float32(0.03232453)],0.03232453,6.7248263,fixed,fixed
7991,57,4.45615,0.0,-0.5796101,-0.5226411,1,[np.float32(5.977319)],[np.float32(0.01951078)],0.01951078,6.7248263,fixed,fixed
7991,58,6.842684,0.0,-0.7877417,-1.3574401,1,[np.float32(6.088874)],[np.float32(0.08446663)],0.08446663,6.088874,fixed,fixed
7991,59,6.088874,1.0,-0.9897368,-1.0668824,1,[np.float32(5.977319)],[np.float32(0.05349227)],0.05349227,6.7248263,fixed,fixed
7991,62,5.977319,1.0,-0.9939643,-1.0689851,1,[np.float32(6.088874)],[np.float32(0.05349227)],0.05349227,6.088874,fixed,fixed
7991,66,5.901499,0.0,-0.710134,-0.93885237,1,[np.float32(5.0934668)],[np.float32(0.061586138)],0.061586138,6.088874,fixed,fixed
7991,74,6.5241694,0.0,-0.7657814,-1.5112611,1,[np.float32(5.0934668)],[np.float32(0.24319017)],0.24319017,5.0934668,fixed,fixed
7991,76,6.9761195,0.0,-0.7831094,-1.4951938,1,[np.float32(5.0934668)],[np.float32(0.19394967)],0.19394967,5.0934668,fixed,fixed
7991,77,5.5545464,0.0,-0.6822605,-0.8232016,1,[np.float32(5.0934668)],[np.float32(0.050411604)],0.050411604,5.0934668,fixed,fixed
7991,83,5.877573,0.0,-0.70861584,-1.9591898,1,[np.float32(6.9761195)],[np.float32(0.28801104)],0.28801104,6.9761195,fixed,fixed
7991,86,5.184434,0.0,-0.6647439,-0.6998308,1,[np.float32(5.0934668)],[np.float32(0.04016033)],0.04016033,6.7248263,fixed,fixed
7991,89,7.5358305,0.0,-0.8137163,-1.4836296,1,[np.float32(5.0934668)],[np.float32(0.14657553)],0.14657553,5.0934668,fixed,fixed
7991,90,5.4253707,0.0,-0.69388235,-0.5416031,1,[np.float32(5.0934668)],[np.float32(0.020732379)],0.020732379,8.228977,fixed,fixed
7991,96,7.5358305,0.0,-0.8286085,-1.2450897,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
7991,97,6.214031,0.0,-0.73340476,-1.1858479,1,[np.float32(5.0934668)],[np.float32(0.111585006)],0.111585006,5.0934668,fixed,fixed
7991,102,5.0934668,0.0,-0.688643,-0.9160638,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
7991,103,7.1303654,0.0,-0.7879904,-1.3484745,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
7991,125,5.877573,0.0,-0.707897,-0.79443073,1,[np.float32(6.088874)],[np.float32(0.02407378)],0.02407378,6.9761195,fixed,fixed
7991,138,7.5358305,0.0,-0.8684164,-1.3471832,1,[np.float32(6.088874)],[np.float32(0.059698556)],0.059698556,8.228977,fixed,fixed
7991,154,6.7248263,0.0,-0.8056455,-1.9018301,1,[np.float32(6.088874)],[np.float32(0.36320382)],0.36320382,6.088874,fixed,fixed
7991,156,5.786329,0.0,-0.7464611,-1.1510593,1,[np.float32(6.088874)],[np.float32(0.07359712)],0.07359712,7.5358305,fixed,fixed
7991,158,6.214031,0.0,-0.7328805,-0.9065835,1,[np.float32(6.088874)],[np.float32(0.029311275)],0.029311275,4.45615,fixed,fixed
7991,159,7.5358305,0.0,-0.83221847,-1.3471832,1,[np.float32(6.088874)],[np.float32(0.059698556)],0.059698556,7.5358305,fixed,fixed
7991,160,6.842684,0.0,-0.7974887,-1.5031776,1,[np.float32(6.088874)],[np.float32(0.12746923)],0.12746923,7.5358305,fixed,fixed
24956,25,5.2083592,0.0,-0.6504584,-0.95436126,1,[np.float32(5.0934668)],[np.float32(0.087324865)],0.087324865,4.5525913,fixed,fixed
24956,27,4.8111362,0.0,-0.6232312,-0.5753982,1,[np.float32(5.0934668)],[np.float32(0.031217033)],0.031217033,7.5358305,fixed,fixed
24956,30,4.5525913,0.0,-0.59375,-0.88719004,1,[np.float32(5.0934668)],[np.float32(0.093068875)],0.093068875,6.214031,fixed,fixed
