step,node_id,base_weight,is_selected,action_taken,correlated_action_taken,num_selected_neighbors,weights_of_selected_neighbors,corrs_with_selected_neighbors,max_corr_to_selected_neighbor,weight_of_highest_corr_neighbor,logical_outcome,corr_logical_outcome
15988,25,5.2083592,1.0,-0.9964109,-0.5440103,1,[np.float32(4.5525913)],[np.float32(0.099425495)],0.099425495,4.5525913,fixed,fixed
15988,27,4.8111362,0.0,-0.28083318,-0.3780674,3,"[np.float32(5.2083592), np.float32(4.5525913), np.float32(4.951692)]","[np.float32(0.0338484), np.float32(0.049403396), np.float32(0.028111102)]",0.049403396,7.5358305,fixed,fixed
15988,28,6.842684,0.0,-0.41770285,-0.49927455,1,[np.float32(4.5525913)],[np.float32(0.036879055)],0.036879055,4.8111362,fixed,fixed
15988,30,4.5525913,1.0,-0.99558616,-0.55884635,1,[np.float32(5.2083592)],[np.float32(0.099425495)],0.099425495,6.214031,fixed,fixed
15988,31,8.228977,0.0,-0.50397485,-0.77653325,1,[np.float32(4.5525913)],[np.float32(0.078724585)],0.078724585,4.8111362,fixed,fixed
15988,43,6.088874,0.0,-0.36572474,-0.9247209,1,[np.float32(6.842684)],[np.float32(0.12746923)],0.12746923,6.7248263,fixed,fixed
15988,48,4.5525913,0.0,-0.26987565,-0.29352993,1,[np.float32(5.0934668)],[np.float32(0.025679354)],0.025679354,6.088874,fixed,fixed
15988,51,6.088874,0.0,-0.3659863,-0.4576625,1,[np.float32(5.0934668)],[np.float32(0.03232453)],0.03232453,6.7248263,fixed,fixed
15988,55,5.2083592,0.0,-0.29575396,-0.63137174,1,[np.float32(4.951692)],[np.float32(0.12398622)],0.12398622,4.951692,fixed,fixed
15988,57,4.45615,0.0,-0.26496387,-0.39150366,1,[np.float32(4.951692)],[np.float32(0.050913606)],0.050913606,6.7248263,fixed,fixed
15988,58,6.842684,0.0,-0.4182986,-0.57966864,1,[np.float32(4.951692)],[np.float32(0.046202783)],0.046202783,6.088874,fixed,fixed
15988,61,8.228977,0.0,-0.5011575,-0.8569273,1,[np.float32(4.951692)],[np.float32(0.096448004)],0.096448004,4.951692,fixed,fixed
15988,75,5.0934668,0.0,-0.32812366,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.5241694,fixed,fixed
15988,96,7.5358305,0.0,-0.47350702,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
15988,97,6.214031,0.0,-0.35213178,-0.84472907,1,[np.float32(5.0934668)],[np.float32(0.20743524)],0.20743524,5.0934668,fixed,fixed
15988,99,6.214031,0.0,-0.35053667,-0.853731,1,[np.float32(7.5358305)],[np.float32(0.06367433)],0.06367433,4.5525913,fixed,fixed
15988,100,8.228977,0.0,-0.54536414,-1.2567202,1,[np.float32(7.5358305)],[np.float32(0.17652911)],0.17652911,7.5358305,fixed,fixed
15988,101,6.842684,0.0,-0.42785305,-1.148921,1,[np.float32(7.5358305)],[np.float32(0.17628156)],0.17628156,7.5358305,fixed,fixed
15988,103,7.1303654,0.0,-0.39835966,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
15988,104,5.5545464,0.0,-0.32654145,-0.350797,1,[np.float32(5.0934668)],[np.float32(0.022772891)],0.022772891,8.228977,fixed,fixed
15988,105,6.088874,0.0,-0.33540803,-0.60078645,1,[np.float32(5.0934668)],[np.float32(0.06837011)],0.06837011,4.5525913,fixed,fixed
15988,107,5.284512,0.0,-0.30862972,-0.43991408,1,[np.float32(5.0934668)],[np.float32(0.04278246)],0.04278246,6.088874,fixed,fixed
15988,120,5.0934668,0.0,-0.30984506,-0.29064113,1,[np.float32(4.5525913)],[np.float32(0.025679354)],0.025679354,6.7248263,fixed,fixed
15988,126,7.5358305,0.0,-0.47064844,-1.1180909,1,[np.float32(7.5358305)],[np.float32(0.12459149)],0.12459149,7.5358305,fixed,fixed
15988,129,5.877573,0.0,-0.35951477,-0.7864393,1,[np.float32(7.5358305)],[np.float32(0.053509373)],0.053509373,6.7248263,fixed,fixed
15988,130,5.4253707,0.0,-0.3228473,-0.54367757,1,[np.float32(6.842684)],[np.float32(0.028767666)],0.028767666,7.5358305,fixed,fixed
15988,131,7.5358305,0.0,-0.4747161,-1.1181976,1,[np.float32(6.842684)],[np.float32(0.17628156)],0.17628156,6.842684,fixed,fixed
15988,135,5.877573,0.0,-0.35166433,-0.41540232,1,[np.float32(5.0934668)],[np.float32(0.028311158)],0.028311158,6.7248263,fixed,fixed
15988,139,6.214031,0.0,-0.3243363,-0.7625388,1,[np.float32(4.5525913)],[np.float32(0.18643393)],0.18643393,4.5525913,fixed,fixed
15988,142,5.786329,0.0,-0.34854382,-0.28800353,1,[np.float32(4.5525913)],[np.float32(0.018084316)],0.018084316,6.088874,fixed,fixed
15988,143,7.5358305,0.0,-0.43926924,-0.7791139,1,[np.float32(4.5525913)],[np.float32(0.11134854)],0.11134854,4.5525913,fixed,fixed
15988,144,5.877573,0.0,-0.3184364,-0.6142119,1,[np.float32(4.951692)],[np.float32(0.08631818)],0.08631818,6.9761195,fixed,fixed
15988,149,5.4253707,0.0,-0.32267419,-0.54367757,1,[np.float32(6.842684)],[np.float32(0.028767666)],0.028767666,7.5358305,fixed,fixed
15988,155,5.877573,0.0,-0.3402899,-0.8824607,1,[np.float32(6.842684)],[np.float32(0.11442152)],0.11442152,6.7248263,fixed,fixed
15988,164,5.0099363,0.0,-0.2836139,-0.35563165,1,[np.float32(4.951692)],[np.float32(0.032502197)],0.032502197,5.184434,fixed,fixed
15988,169,6.088874,0.0,-0.3300426,-0.73750734,2,"[np.float32(5.2083592), np.float32(4.5525913)]","[np.float32(0.07279101), np.float32(0.17459728)]",0.17459728,4.5525913,fixed,fixed
15988,170,6.088501,0.0,-0.35236898,-0.34843796,1,[np.float32(4.5525913)],[np.float32(0.022736935)],0.022736935,4.5525913,fixed,fixed
15988,172,5.0934668,0.0,-0.34997946,-0.5748169,3,"[np.float32(5.2083592), np.float32(4.5525913), np.float32(4.951692)]","[np.float32(0.087324865), np.float32(0.093068875), np.float32(0.07544661)]",0.093068875,6.9761195,fixed,fixed
15988,174,6.214031,0.0,-0.3476254,-0.5984612,1,[np.float32(4.5525913)],[np.float32(0.08361014)],0.08361014,5.284512,fixed,fixed
15988,176,6.088874,0.0,-0.3266146,-0.6336149,1,[np.float32(4.5525913)],[np.float32(0.105595194)],0.105595194,5.284512,fixed,fixed
15988,179,5.184434,0.0,-0.30109438,-0.53716046,1,[np.float32(4.951692)],[np.float32(0.079511344)],0.079511344,6.9761195,fixed,fixed
15988,187,5.4253707,0.0,-0.29417706,-0.4387185,2,"[np.float32(4.5525913), np.float32(4.951692)]","[np.float32(0.032927886), np.float32(0.042770606)]",0.042770606,5.0934668,fixed,fixed
15988,197,6.7248263,0.0,-0.35818404,-0.90187836,1,[np.float32(5.0934668)],[np.float32(0.21994561)],0.21994561,5.0934668,fixed,fixed
15988,198,5.5545464,0.0,-0.3082468,-0.49392095,1,[np.float32(5.0934668)],[np.float32(0.050411604)],0.050411604,5.0934668,fixed,fixed
15988,205,5.184434,0.0,-0.29989958,-0.41989845,1,[np.float32(5.0934668)],[np.float32(0.04016033)],0.04016033,6.7248263,fixed,fixed
15988,208,7.5358305,0.0,-0.43167588,-0.8901777,1,[np.float32(5.0934668)],[np.float32(0.14657553)],0.14657553,5.0934668,fixed,fixed
15988,209,5.4253707,0.0,-0.31700036,-0.32496184,1,[np.float32(5.0934668)],[np.float32(0.020732379)],0.020732379,8.228977,fixed,fixed
15988,215,7.5358305,0.0,-0.4645087,-0.7470538,1,[np.float32(5.0934668)],[np.float32(0.07239285)],0.07239285,7.5358305,fixed,fixed
15988,216,6.214031,0.0,-0.3384166,-0.71150875,1,[np.float32(5.0934668)],[np.float32(0.111585006)],0.111585006,5.0934668,fixed,fixed
15988,221,5.0934668,0.0,-0.31001493,-0.5496383,1,[np.float32(5.0934668)],[np.float32(0.08184193)],0.08184193,6.7248263,fixed,fixed
15988,222,7.1303654,0.0,-0.40015972,-0.8090847,1,[np.float32(5.0934668)],[np.float32(0.11897195)],0.11897195,5.0934668,fixed,fixed
15988,256,5.284512,0.0,-0.3298882,-0.47274256,1,[np.float32(4.5525913)],[np.float32(0.0667954)],0.0667954,6.088874,fixed,fixed
63426,30,4.5525913,0.0,-0.2707512,-0.36317652,1,[np.float32(5.4253707)],[np.float32(0.032927886)],0.032927886,6.214031,fixed,fixed
63426,60,4.951692,0.0,-0.29081213,-0.44299668,1,[np.float32(5.4253707)],[np.float32(0.042770606)],0.042770606,5.2083592,fixed,fixed
63426,75,5.0934668,0.0,-0.32812366,-1.0186926,1,[np.float32(7.5358305)],[np.float32(0.14657553)],0.14657553,6.5241694,fixed,fixed
63426,86,5.184434,0.0,-0.30232325,-0.81727105,1,[np.float32(7.5358305)],[np.float32(0.07588504)],0.07588504,6.7248263,fixed,fixed
