distance,p,shots,ler_standard,std_err_standard,ler_correlated,std_err_correlated
3,0.0001,59400000,8.417508417508417e-06,3.764408360975545e-07,4.760942760942761e-05,8.952470921993656e-07
3,0.00031622776601683794,6500000,7.723076923076923e-05,3.446844814499046e-06,0.00019953846153846153,5.540045069808735e-06
3,0.001,700000,0.00075,3.27204064766928e-05,0.0011142857142857144,3.987559371045067e-05
3,0.0031622776601683794,100000,0.00699,0.00026346043156421045,0.00729,0.0002690140498189639
3,0.01,100000,0.05925,0.0007465884910712192,0.05781,0.0007380244162627684
5,0.0001,100000000,1e-07,3.162277502054492e-08,3.8e-07,6.164412831730204e-08
5,0.00031622776601683794,100000000,4.61e-06,2.1470861063078026e-07,5.72e-06,2.391645308485353e-07
5,0.001,4500000,0.0001377777777777778,5.532907514975556e-06,0.00011266666666666666,5.003420449805399e-06
5,0.0031622776601683794,200000,0.0036,0.00013392236557050507,0.002765,0.00011741709362354359
5,0.01,100000,0.08433,0.000878740297812727,0.07358,0.0008256269351226376
