p,shots,alpha_all,n_sel_all,alpha_edge_changed,alpha_ec_lo,alpha_ec_hi,edge_changed_shots,edge_changed_frac,edge_changed_denom_shots,n_sel_edge_changed,alpha_logical_changed,alpha_lc_lo,alpha_lc_hi,logical_changed_shots,logical_changed_frac,n_sel_logical_changed,per_edge_median,per_edge_min,mwpm_ler,cm_ler
0.0002,266450000,0.9955667899371161,56604807,0.7511353315168029,0.7182130952380952,0.7809349220898258,415,0.0006384615384615385,650000,1101,0.48847926267281105,0.45801135474447474,0.5183492514937845,300,1.125914805779696e-06,1302,0.9956887398755339,0.9784715881154737,9.795458810283356e-07,8.069056108087822e-07
0.0004,36750000,0.9910590954144586,15584441,0.6957528957528958,0.6676699267070981,0.7235595891070054,434,0.001736,250000,1295,0.4785100286532951,0.4500713266761769,0.5070836705787131,301,8.19047619047619e-06,1396,0.9911547516404383,0.9577963103361132,8.598639455782313e-06,5.687074829931973e-06
0.0007,7450000,0.9843231287002379,5507923,0.6579417013682332,0.6321421616879226,0.681504077928739,481,0.00481,100000,1681,0.5090664875755541,0.48208188161684024,0.5360348607644213,301,4.040268456375839e-05,1489,0.9844101601365424,0.925026399155227,4.5503355704697984e-05,2.8993288590604025e-05
0.001,2800000,0.9774630818731158,2949161,0.6634192331866751,0.6439659923855943,0.6807197721506103,842,0.00842,100000,3182,0.5092250922509225,0.48461938134083843,0.5334168482455981,303,0.00010821428571428572,1626,0.977164697450831,0.893048128342246,0.00013464285714285716,7.5e-05
0.002,450000,0.9534629733129152,935771,0.6658809664113141,0.6547484188884612,0.6766479155551517,1416,0.02832,50000,6788,0.5473271211378127,0.525166233528796,0.5695126936178122,323,0.0007177777777777778,2039,0.9522382550196389,0.7830578512396694,0.0010133333333333333,0.0005977777777777778
0.005,50000,0.8789016945880953,248674,0.6960424784169914,0.691656142672414,0.700338196759059,7259,0.14518,50000,52356,0.5875,0.5705567053371577,0.6042248304040817,437,0.00874,3680,0.8700925817414742,0.5460992907801419,0.01384,0.00986
0.01,50000,0.7541729012950829,465144,0.6613909623824018,0.6588722860544127,0.6638919031828512,19972,0.39944,50000,217159,0.5838160560076762,0.577104612003395,0.5906215779836093,2333,0.04666,28139,0.7204702413284705,0.3142857142857143,0.08154,0.06976
