p,tess_mean,tess_std,mwpm_mean,mwpm_std,n_shots,tess_errors,mwpm_errors
0.0008,2.923076923076923e-05,1.6764750908040602e-06,6.836538461538461e-05,2.5638145931849245e-06,10400000,304,711
0.0006,1.1850393700787401e-05,6.830412903255758e-07,2.9881889763779528e-05,1.084627677263117e-06,25400000,301,759
0.0004,4.0871934604904634e-06,2.3597374222777845e-07,8.514986376021799e-06,3.405980049379254e-07,73400000,300,625
0.0002,4.3053960964408724e-07,2.4857210601472414e-08,1.1251435132032147e-06,4.01836742938955e-08,696800000,300,784
