iter,p,reward_mean,a,b,c,d,std
0,0.01,0.005166666666666667,0.02372250333428383,-0.9516831636428833,1.0668259859085083,1.003631353378296,0.1515226662158966
1,0.003419951893353393,-0.0017083333333333332,0.04423786327242851,-0.9325060248374939,1.1210393905639648,0.9608119130134583,0.15377368032932281
2,0.001169607095285147,0.0,0.05660777539014816,-0.917991042137146,1.1542237997055054,0.9344069957733154,0.15963752567768097
3,0.0004,0.0,0.06474602967500687,-0.9084415435791016,1.176056146621704,0.9170350432395935,0.16743074357509613
4,0.01,0.009416666666666665,0.035189755260944366,-0.9380937218666077,1.1507006883621216,0.8890570998191833,0.17209137976169586
5,0.003419951893353393,0.0006666666666666666,0.01194914523512125,-0.9607685804367065,1.1167171001434326,0.8777524828910828,0.17722558975219727
