Job started at: Wed Apr 29 21:19:29 CEST 2026
Starting Run 53: 500 eps | No burn-in | Gamma=0.99 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C.
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_53.pth', 'training_metrics_filename': 'training_metrics_53.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 50000, 'n_test_shots': 10000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 100, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.99, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 039/500 | Reward:  -28.0 | MSE: 0.3900 | C_Loss: 0.012 | A_Loss: 0.057 | Alpha: 0.0017
Train Ep: 040/500 | Reward:  -19.0 | MSE: 0.4028 | C_Loss: 0.012 | A_Loss: 0.053 | Alpha: 0.0016
Train Ep: 041/500 | Reward:    5.0 | MSE: 0.2502 | C_Loss: 0.013 | A_Loss: 0.049 | Alpha: 0.0015
Train Ep: 042/500 | Reward:  -23.0 | MSE: 0.3529 | C_Loss: 0.009 | A_Loss: 0.048 | Alpha: 0.0015
Train Ep: 043/500 | Reward:  -18.0 | MSE: 0.2935 | C_Loss: 0.007 | A_Loss: 0.047 | Alpha: 0.0014
Train Ep: 044/500 | Reward:  -25.0 | MSE: 0.3010 | C_Loss: 0.010 | A_Loss: 0.046 | Alpha: 0.0013
Train Ep: 045/500 | Reward:  -68.0 | MSE: 0.2769 | C_Loss: 0.014 | A_Loss: 0.045 | Alpha: 0.0013
Train Ep: 046/500 | Reward: -123.0 | MSE: 0.3671 | C_Loss: 0.021 | A_Loss: 0.043 | Alpha: 0.0012
Train Ep: 047/500 | Reward: -107.0 | MSE: 0.3769 | C_Loss: 0.027 | A_Loss: 0.045 | Alpha: 0.0012
Train Ep: 048/500 | Reward: -121.0 | MSE: 0.4856 | C_Loss: 0.028 | A_Loss: 0.049 | Alpha: 0.0011
Train Ep: 049/500 | Reward:  -31.0 | MSE: 0.1460 | C_Loss: 0.026 | A_Loss: 0.050 | Alpha: 0.0011
Train Ep: 050/500 | Reward: -104.0 | MSE: 0.4897 | C_Loss: 0.022 | A_Loss: 0.051 | Alpha: 0.0010
Train Ep: 051/500 | Reward:  -17.0 | MSE: 0.3654 | C_Loss: 0.026 | A_Loss: 0.054 | Alpha: 0.0010
Train Ep: 052/500 | Reward:  -28.0 | MSE: 0.3429 | C_Loss: 0.017 | A_Loss: 0.053 | Alpha: 0.0009
Train Ep: 053/500 | Reward:   27.0 | MSE: 0.2381 | C_Loss: 0.010 | A_Loss: 0.052 | Alpha: 0.0009
Train Ep: 054/500 | Reward:    2.0 | MSE: 0.3750 | C_Loss: 0.008 | A_Loss: 0.049 | Alpha: 0.0009
Train Ep: 055/500 | Reward:  -28.0 | MSE: 0.2828 | C_Loss: 0.009 | A_Loss: 0.046 | Alpha: 0.0008
Train Ep: 056/500 | Reward:   -6.0 | MSE: 0.3414 | C_Loss: 0.010 | A_Loss: 0.044 | Alpha: 0.0008
Train Ep: 057/500 | Reward:  -35.0 | MSE: 0.3359 | C_Loss: 0.013 | A_Loss: 0.043 | Alpha: 0.0007
Train Ep: 058/500 | Reward:   -7.0 | MSE: 0.3528 | C_Loss: 0.018 | A_Loss: 0.043 | Alpha: 0.0007
Train Ep: 059/500 | Reward:  -33.0 | MSE: 0.3310 | C_Loss: 0.017 | A_Loss: 0.041 | Alpha: 0.0007
Train Ep: 060/500 | Reward:    9.0 | MSE: 0.4583 | C_Loss: 0.015 | A_Loss: 0.041 | Alpha: 0.0007
Train Ep: 061/500 | Reward:  -51.0 | MSE: 0.3805 | C_Loss: 0.016 | A_Loss: 0.040 | Alpha: 0.0006
Train Ep: 062/500 | Reward:    4.0 | MSE: 0.3103 | C_Loss: 0.014 | A_Loss: 0.040 | Alpha: 0.0006
Train Ep: 063/500 | Reward:   24.0 | MSE: 0.4411 | C_Loss: 0.013 | A_Loss: 0.037 | Alpha: 0.0006
Train Ep: 064/500 | Reward:  -28.0 | MSE: 0.3235 | C_Loss: 0.011 | A_Loss: 0.036 | Alpha: 0.0005
Train Ep: 065/500 | Reward:   -6.0 | MSE: 0.2049 | C_Loss: 0.011 | A_Loss: 0.035 | Alpha: 0.0005
Train Ep: 066/500 | Reward:  -19.0 | MSE: 0.4387 | C_Loss: 0.012 | A_Loss: 0.035 | Alpha: 0.0005
Train Ep: 067/500 | Reward:  -31.0 | MSE: 0.2961 | C_Loss: 0.012 | A_Loss: 0.035 | Alpha: 0.0005
Train Ep: 068/500 | Reward:  -21.0 | MSE: 0.3529 | C_Loss: 0.011 | A_Loss: 0.035 | Alpha: 0.0005
Train Ep: 069/500 | Reward:   -6.0 | MSE: 0.3480 | C_Loss: 0.011 | A_Loss: 0.034 | Alpha: 0.0004
Train Ep: 070/500 | Reward:   14.0 | MSE: 0.4331 | C_Loss: 0.009 | A_Loss: 0.034 | Alpha: 0.0004
Train Ep: 071/500 | Reward:   13.0 | MSE: 0.3218 | C_Loss: 0.006 | A_Loss: 0.033 | Alpha: 0.0004
Train Ep: 072/500 | Reward:   -2.0 | MSE: 0.2298 | C_Loss: 0.009 | A_Loss: 0.031 | Alpha: 0.0004
Train Ep: 073/500 | Reward:    5.0 | MSE: 0.3606 | C_Loss: 0.009 | A_Loss: 0.028 | Alpha: 0.0004
Train Ep: 074/500 | Reward:   18.0 | MSE: 0.2866 | C_Loss: 0.009 | A_Loss: 0.026 | Alpha: 0.0003
Train Ep: 075/500 | Reward:   -1.0 | MSE: 0.2994 | C_Loss: 0.009 | A_Loss: 0.025 | Alpha: 0.0003
Train Ep: 076/500 | Reward:  -21.0 | MSE: 0.3548 | C_Loss: 0.012 | A_Loss: 0.022 | Alpha: 0.0003
Train Ep: 077/500 | Reward:   10.0 | MSE: 0.4406 | C_Loss: 0.016 | A_Loss: 0.023 | Alpha: 0.0003
Train Ep: 078/500 | Reward:  -28.0 | MSE: 0.3335 | C_Loss: 0.015 | A_Loss: 0.022 | Alpha: 0.0003
Train Ep: 079/500 | Reward:  -17.0 | MSE: 0.2899 | C_Loss: 0.014 | A_Loss: 0.020 | Alpha: 0.0003
Train Ep: 080/500 | Reward:   -3.0 | MSE: 0.2478 | C_Loss: 0.013 | A_Loss: 0.021 | Alpha: 0.0003
Train Ep: 081/500 | Reward:   14.0 | MSE: 0.3894 | C_Loss: 0.008 | A_Loss: 0.021 | Alpha: 0.0003
Train Ep: 082/500 | Reward:   21.0 | MSE: 0.4519 | C_Loss: 0.006 | A_Loss: 0.019 | Alpha: 0.0002
Train Ep: 083/500 | Reward:    9.0 | MSE: 0.3164 | C_Loss: 0.005 | A_Loss: 0.018 | Alpha: 0.0002
Train Ep: 084/500 | Reward:  -11.0 | MSE: 0.3680 | C_Loss: 0.008 | A_Loss: 0.017 | Alpha: 0.0002
Train Ep: 085/500 | Reward:  -22.0 | MSE: 0.2838 | C_Loss: 0.011 | A_Loss: 0.018 | Alpha: 0.0002
Train Ep: 086/500 | Reward:    7.0 | MSE: 0.3244 | C_Loss: 0.011 | A_Loss: 0.019 | Alpha: 0.0002
Train Ep: 087/500 | Reward:    8.0 | MSE: 0.3451 | C_Loss: 0.008 | A_Loss: 0.019 | Alpha: 0.0002
