Job started at: Sun May  3 11:16:59 CEST 2026
Starting Run 61: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=128 | te=-0.5
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_61.pth', 'training_metrics_filename': 'training_metrics_61.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -0.5, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 280, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 280)
========================================
Train Ep: 039/280 | Reward:  -29.0 | MSE: 0.1741 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 040/280 | Reward:  -32.0 | MSE: 0.1855 | C_Loss: 0.014 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 041/280 | Reward:  -61.0 | MSE: 0.1455 | C_Loss: 0.016 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 042/280 | Reward:  -21.0 | MSE: 0.0978 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0015
Train Ep: 043/280 | Reward:  -73.0 | MSE: 0.1827 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0014
Train Ep: 044/280 | Reward:  -41.0 | MSE: 0.2824 | C_Loss: 0.018 | A_Loss: 0.001 | Alpha: 0.0014
Train Ep: 045/280 | Reward:  -45.0 | MSE: 0.1534 | C_Loss: 0.019 | A_Loss: 0.000 | Alpha: 0.0013
Train Ep: 046/280 | Reward:    8.0 | MSE: 0.1901 | C_Loss: 0.012 | A_Loss: 0.000 | Alpha: 0.0012
Train Ep: 047/280 | Reward:   27.0 | MSE: 0.1483 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0012
Train Ep: 048/280 | Reward:   12.0 | MSE: 0.1829 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0011
Train Ep: 049/280 | Reward:  -19.0 | MSE: 0.2269 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0011
Train Ep: 050/280 | Reward:  -15.0 | MSE: 0.2869 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0010
Train Ep: 051/280 | Reward:    1.0 | MSE: 0.2553 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0010
Train Ep: 052/280 | Reward:  -27.0 | MSE: 0.2360 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0010
Train Ep: 053/280 | Reward:    2.0 | MSE: 0.2909 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0009
Train Ep: 054/280 | Reward:   30.0 | MSE: 0.2535 | C_Loss: 0.006 | A_Loss: 0.000 | Alpha: 0.0009
Train Ep: 055/280 | Reward:   -4.0 | MSE: 0.2071 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 056/280 | Reward:   13.0 | MSE: 0.2603 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 057/280 | Reward:  -16.0 | MSE: 0.1983 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 058/280 | Reward:  -23.0 | MSE: 0.2051 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0007
Train Ep: 059/280 | Reward:    2.0 | MSE: 0.1781 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0007
Train Ep: 060/280 | Reward:  -27.0 | MSE: 0.1609 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0007
Train Ep: 061/280 | Reward:  -38.0 | MSE: 0.2119 | C_Loss: 0.016 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 062/280 | Reward:   18.0 | MSE: 0.1723 | C_Loss: 0.011 | A_Loss: 0.000 | Alpha: 0.0006
Train Ep: 063/280 | Reward:   -6.0 | MSE: 0.1335 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 064/280 | Reward:   -9.0 | MSE: 0.2319 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 065/280 | Reward:    5.0 | MSE: 0.2110 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0005
Train Ep: 066/280 | Reward:  -47.0 | MSE: 0.1562 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0005
Train Ep: 067/280 | Reward:  -59.0 | MSE: 0.1854 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0005
Train Ep: 068/280 | Reward: -106.0 | MSE: 0.2688 | C_Loss: 0.018 | A_Loss: 0.001 | Alpha: 0.0005
Train Ep: 069/280 | Reward:  -90.0 | MSE: 0.1531 | C_Loss: 0.020 | A_Loss: 0.002 | Alpha: 0.0004
Train Ep: 070/280 | Reward:  -20.0 | MSE: 0.2417 | C_Loss: 0.021 | A_Loss: 0.001 | Alpha: 0.0004
Train Ep: 071/280 | Reward:    6.0 | MSE: 0.1064 | C_Loss: 0.017 | A_Loss: 0.000 | Alpha: 0.0004
Train Ep: 072/280 | Reward:   11.0 | MSE: 0.1642 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0004
Train Ep: 073/280 | Reward:    9.0 | MSE: 0.2317 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0004
Train Ep: 074/280 | Reward:  -12.0 | MSE: 0.2036 | C_Loss: 0.004 | A_Loss: 0.000 | Alpha: 0.0004
Train Ep: 075/280 | Reward:  -87.0 | MSE: 0.2233 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 076/280 | Reward:    5.0 | MSE: 0.1929 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 077/280 | Reward:   -5.0 | MSE: 0.3245 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 078/280 | Reward:    1.0 | MSE: 0.1516 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 079/280 | Reward:   -1.0 | MSE: 0.1393 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0003
Train Ep: 080/280 | Reward:    8.0 | MSE: 0.2860 | C_Loss: 0.000 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 081/280 | Reward:    9.0 | MSE: 0.2540 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 082/280 | Reward:    5.0 | MSE: 0.3297 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 083/280 | Reward:   -2.0 | MSE: 0.2483 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0003
Train Ep: 084/280 | Reward:    7.0 | MSE: 0.2592 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 085/280 | Reward:    0.0 | MSE: 0.1995 | C_Loss: 0.002 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 086/280 | Reward:   14.0 | MSE: 0.3538 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 087/280 | Reward:   -4.0 | MSE: 0.2711 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 088/280 | Reward:   -3.0 | MSE: 0.3020 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 089/280 | Reward:  -37.0 | MSE: 0.1880 | C_Loss: 0.005 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 090/280 | Reward:  -10.0 | MSE: 0.1771 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0002
Train Ep: 091/280 | Reward:   -4.0 | MSE: 0.1674 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0002
Train Ep: 092/280 | Reward:   -3.0 | MSE: 0.1784 | C_Loss: 0.002 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 093/280 | Reward:    1.0 | MSE: 0.2012 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0002
Train Ep: 094/280 | Reward:    4.0 | MSE: 0.2728 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0002
Train Ep: 095/280 | Reward:   -2.0 | MSE: 0.1982 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 096/280 | Reward:    1.0 | MSE: 0.2334 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 097/280 | Reward:    2.0 | MSE: 0.2965 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 098/280 | Reward:    4.0 | MSE: 0.2173 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 099/280 | Reward:   12.0 | MSE: 0.1385 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 100/280 | Reward:   21.0 | MSE: 0.1103 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 101/280 | Reward:   -3.0 | MSE: 0.3384 | C_Loss: 0.003 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 102/280 | Reward:    3.0 | MSE: 0.2567 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 103/280 | Reward:   10.0 | MSE: 0.2386 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 104/280 | Reward:  -16.0 | MSE: 0.2618 | C_Loss: 0.003 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 105/280 | Reward:    5.0 | MSE: 0.2192 | C_Loss: 0.001 | A_Loss: 0.000 | Alpha: 0.0001
Train Ep: 106/280 | Reward:   21.0 | MSE: 0.2456 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 107/280 | Reward:   16.0 | MSE: 0.2073 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 108/280 | Reward:    8.0 | MSE: 0.2124 | C_Loss: 0.002 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 109/280 | Reward:   13.0 | MSE: 0.2185 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 110/280 | Reward:    2.0 | MSE: 0.2720 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 111/280 | Reward:   15.0 | MSE: 0.2256 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 112/280 | Reward:   14.0 | MSE: 0.0914 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 113/280 | Reward:    6.0 | MSE: 0.2544 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 114/280 | Reward:   14.0 | MSE: 0.1712 | C_Loss: 0.001 | A_Loss: -0.000 | Alpha: 0.0001
