Job started at: Tue May  5 15:49:23 CEST 2026
Starting Run 63: Burn-in | Gamma=0.0 | Layers=1 | M=30.0 | action_scale=5 | Using P.C. | lr=5e-5 | bs=128 | te=-1
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_63.pth', 'training_metrics_filename': 'training_metrics_63.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 5e-05, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'target_entropy': -1.0, 'batch_size': 128, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 500, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 500)
========================================
Train Ep: 039/500 | Reward:    6.0 | MSE: 0.2311 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0039
Train Ep: 040/500 | Reward:  -46.0 | MSE: 0.2743 | C_Loss: 0.007 | A_Loss: -0.002 | Alpha: 0.0039
Train Ep: 041/500 | Reward:  -53.0 | MSE: 0.2565 | C_Loss: 0.006 | A_Loss: -0.002 | Alpha: 0.0038
Train Ep: 042/500 | Reward:  -26.0 | MSE: 0.2020 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0037
Train Ep: 043/500 | Reward:  -32.0 | MSE: 0.1938 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0036
Train Ep: 044/500 | Reward:  -10.0 | MSE: 0.1975 | C_Loss: 0.009 | A_Loss: -0.002 | Alpha: 0.0035
Train Ep: 045/500 | Reward:  -68.0 | MSE: 0.1841 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0034
Train Ep: 046/500 | Reward:  -14.0 | MSE: 0.1726 | C_Loss: 0.007 | A_Loss: -0.001 | Alpha: 0.0033
Train Ep: 047/500 | Reward:    0.0 | MSE: 0.2591 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0033
Train Ep: 048/500 | Reward:  -11.0 | MSE: 0.2501 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0032
Train Ep: 049/500 | Reward:   30.0 | MSE: 0.1865 | C_Loss: 0.005 | A_Loss: -0.002 | Alpha: 0.0031
Train Ep: 050/500 | Reward:  -21.0 | MSE: 0.2288 | C_Loss: 0.005 | A_Loss: -0.002 | Alpha: 0.0030
Train Ep: 051/500 | Reward:    0.0 | MSE: 0.1537 | C_Loss: 0.006 | A_Loss: -0.002 | Alpha: 0.0030
Train Ep: 052/500 | Reward:  -40.0 | MSE: 0.2662 | C_Loss: 0.006 | A_Loss: -0.002 | Alpha: 0.0029
Train Ep: 053/500 | Reward:  -22.0 | MSE: 0.2418 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0028
Train Ep: 054/500 | Reward:  -32.0 | MSE: 0.3102 | C_Loss: 0.006 | A_Loss: -0.001 | Alpha: 0.0028
Train Ep: 055/500 | Reward:  -44.0 | MSE: 0.2782 | C_Loss: 0.008 | A_Loss: -0.001 | Alpha: 0.0027
Train Ep: 056/500 | Reward:  -59.0 | MSE: 0.1546 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0026
Train Ep: 057/500 | Reward:   -8.0 | MSE: 0.1871 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0026
Train Ep: 058/500 | Reward:  -13.0 | MSE: 0.3124 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0025
Train Ep: 059/500 | Reward:  -12.0 | MSE: 0.2370 | C_Loss: 0.005 | A_Loss: -0.001 | Alpha: 0.0025
