Job started at: Sat May  2 12:08:34 CEST 2026
Starting Run 57: Burn-in | Gamma=0.0 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C. | lr=1e-4 | bs=256
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_57.pth', 'training_metrics_filename': 'training_metrics_57.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 256, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 300, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 300)
========================================
Train Ep: 039/300 | Reward:   20.0 | MSE: 0.3353 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0017
Train Ep: 040/300 | Reward:   11.0 | MSE: 0.2353 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0016
Train Ep: 041/300 | Reward:  -20.0 | MSE: 0.1131 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0015
Train Ep: 042/300 | Reward:   17.0 | MSE: 0.2156 | C_Loss: 0.018 | A_Loss: -0.001 | Alpha: 0.0015
Train Ep: 043/300 | Reward:   -8.0 | MSE: 0.2033 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0014
Train Ep: 044/300 | Reward:   16.0 | MSE: 0.2512 | C_Loss: 0.012 | A_Loss: -0.001 | Alpha: 0.0013
Train Ep: 045/300 | Reward:   16.0 | MSE: 0.4044 | C_Loss: 0.011 | A_Loss: -0.001 | Alpha: 0.0013
Train Ep: 046/300 | Reward:   -8.0 | MSE: 0.1574 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0012
Train Ep: 047/300 | Reward:   34.0 | MSE: 0.1681 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0012
Train Ep: 048/300 | Reward:  -78.0 | MSE: 0.2799 | C_Loss: 0.019 | A_Loss: -0.001 | Alpha: 0.0011
Train Ep: 049/300 | Reward:   -2.0 | MSE: 0.2221 | C_Loss: 0.017 | A_Loss: -0.000 | Alpha: 0.0011
Train Ep: 050/300 | Reward:   -9.0 | MSE: 0.2040 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0010
Train Ep: 051/300 | Reward:  -22.0 | MSE: 0.1074 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0010
Train Ep: 052/300 | Reward:   -5.0 | MSE: 0.1900 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0009
Train Ep: 053/300 | Reward:   -4.0 | MSE: 0.2301 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0009
Train Ep: 054/300 | Reward:   14.0 | MSE: 0.1986 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0009
Train Ep: 055/300 | Reward:    6.0 | MSE: 0.2062 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 056/300 | Reward:    2.0 | MSE: 0.1586 | C_Loss: 0.007 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 057/300 | Reward:   18.0 | MSE: 0.2405 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0008
Train Ep: 058/300 | Reward:   -9.0 | MSE: 0.2150 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 059/300 | Reward:   10.0 | MSE: 0.2862 | C_Loss: 0.005 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 060/300 | Reward:   17.0 | MSE: 0.1483 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0007
Train Ep: 061/300 | Reward:   20.0 | MSE: 0.1730 | C_Loss: 0.004 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 062/300 | Reward:   22.0 | MSE: 0.1816 | C_Loss: 0.006 | A_Loss: -0.000 | Alpha: 0.0006
Train Ep: 063/300 | Reward:  -20.0 | MSE: 0.1648 | C_Loss: 0.009 | A_Loss: -0.001 | Alpha: 0.0006
