Job started at: Thu Apr 16 13:15:25 CEST 2026
Starting Run 2: Gamma=0.0 | Mismatch=1.0 | Update=1000
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_36_cpu.pth', 'training_metrics_filename': 'training_metrics_36_cpu.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 1.0, 'n_shots': 20000, 'burn_in_steps': 0, 'bypass_threshold': 2, 'action_scale': 3.0, 'update_period': 1000, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'hidden_dim': 128, 'lr': 0.0001, 'gamma': 0.0, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 270, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 270)
========================================
Train Ep: 040/270 | Reward:  -53.0 | MSE: 0.0415 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0048
Train Ep: 041/270 | Reward:  -48.0 | MSE: 0.0464 | C_Loss: 0.016 | A_Loss: 0.001 | Alpha: 0.0047
Train Ep: 042/270 | Reward:  -55.0 | MSE: 0.0411 | C_Loss: 0.019 | A_Loss: 0.001 | Alpha: 0.0046
Train Ep: 043/270 | Reward:  -53.0 | MSE: 0.0412 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0045
Train Ep: 044/270 | Reward:  -66.0 | MSE: 0.0468 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0044
Train Ep: 045/270 | Reward:  -58.0 | MSE: 0.0480 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0044
Train Ep: 046/270 | Reward:  -37.0 | MSE: 0.0512 | C_Loss: 0.015 | A_Loss: -0.001 | Alpha: 0.0043
Train Ep: 047/270 | Reward:  -44.0 | MSE: 0.0441 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0042
Train Ep: 048/270 | Reward:  -64.0 | MSE: 0.0444 | C_Loss: 0.013 | A_Loss: -0.001 | Alpha: 0.0041
Train Ep: 049/270 | Reward:  -58.0 | MSE: 0.0469 | C_Loss: 0.016 | A_Loss: 0.000 | Alpha: 0.0041
Train Ep: 050/270 | Reward:  -58.0 | MSE: 0.0494 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0040
Train Ep: 051/270 | Reward:  -53.0 | MSE: 0.0466 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0039
Train Ep: 052/270 | Reward:  -56.0 | MSE: 0.0438 | C_Loss: 0.014 | A_Loss: -0.001 | Alpha: 0.0038
Train Ep: 053/270 | Reward:  -70.0 | MSE: 0.0457 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0038
Train Ep: 054/270 | Reward:  -45.0 | MSE: 0.0438 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0037
Train Ep: 055/270 | Reward:  -41.0 | MSE: 0.0423 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0036
Train Ep: 056/270 | Reward:  -64.0 | MSE: 0.0496 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0036
Train Ep: 057/270 | Reward:  -71.0 | MSE: 0.0414 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0035
Train Ep: 058/270 | Reward:  -43.0 | MSE: 0.0513 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0034
Train Ep: 059/270 | Reward:  -45.0 | MSE: 0.0408 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0034
Train Ep: 060/270 | Reward:  -32.0 | MSE: 0.0481 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0033
Train Ep: 061/270 | Reward:  -46.0 | MSE: 0.0453 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0033
Train Ep: 062/270 | Reward:  -59.0 | MSE: 0.0421 | C_Loss: 0.014 | A_Loss: 0.000 | Alpha: 0.0032
Train Ep: 063/270 | Reward:  -61.0 | MSE: 0.0445 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0031
Train Ep: 064/270 | Reward:  -81.0 | MSE: 0.0605 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0031
Train Ep: 065/270 | Reward:  -58.0 | MSE: 0.0378 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0030
Train Ep: 066/270 | Reward:  -65.0 | MSE: 0.0448 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0030
Train Ep: 067/270 | Reward:  -63.0 | MSE: 0.0445 | C_Loss: 0.015 | A_Loss: 0.003 | Alpha: 0.0029
Train Ep: 068/270 | Reward:  -37.0 | MSE: 0.0471 | C_Loss: 0.016 | A_Loss: 0.002 | Alpha: 0.0029
Train Ep: 069/270 | Reward:  -48.0 | MSE: 0.0505 | C_Loss: 0.015 | A_Loss: 0.002 | Alpha: 0.0028
Train Ep: 070/270 | Reward:  -64.0 | MSE: 0.0499 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0028
Train Ep: 071/270 | Reward:  -32.0 | MSE: 0.0446 | C_Loss: 0.014 | A_Loss: 0.002 | Alpha: 0.0027
Train Ep: 072/270 | Reward:  -31.0 | MSE: 0.0439 | C_Loss: 0.015 | A_Loss: 0.001 | Alpha: 0.0027
Train Ep: 073/270 | Reward:  -42.0 | MSE: 0.0477 | C_Loss: 0.013 | A_Loss: 0.001 | Alpha: 0.0026
Train Ep: 074/270 | Reward:  -44.0 | MSE: 0.0467 | C_Loss: 0.010 | A_Loss: 0.000 | Alpha: 0.0026
Train Ep: 075/270 | Reward:  -64.0 | MSE: 0.0451 | C_Loss: 0.015 | A_Loss: 0.000 | Alpha: 0.0025
Train Ep: 076/270 | Reward:  -44.0 | MSE: 0.0475 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0025
Train Ep: 077/270 | Reward:  -37.0 | MSE: 0.0483 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0024
Train Ep: 078/270 | Reward:  -53.0 | MSE: 0.0548 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0024
Train Ep: 079/270 | Reward:  -45.0 | MSE: 0.0517 | C_Loss: 0.011 | A_Loss: 0.002 | Alpha: 0.0024
Train Ep: 080/270 | Reward:  -38.0 | MSE: 0.0451 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0023
Train Ep: 081/270 | Reward:  -43.0 | MSE: 0.0506 | C_Loss: 0.012 | A_Loss: 0.002 | Alpha: 0.0023
Train Ep: 082/270 | Reward:  -23.0 | MSE: 0.0482 | C_Loss: 0.014 | A_Loss: 0.001 | Alpha: 0.0022
Train Ep: 083/270 | Reward:  -22.0 | MSE: 0.0470 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0022
Train Ep: 084/270 | Reward:  -37.0 | MSE: 0.0738 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0022
Train Ep: 085/270 | Reward:  -24.0 | MSE: 0.0397 | C_Loss: 0.011 | A_Loss: 0.000 | Alpha: 0.0021
Train Ep: 086/270 | Reward:  -35.0 | MSE: 0.0530 | C_Loss: 0.013 | A_Loss: 0.002 | Alpha: 0.0021
Train Ep: 087/270 | Reward:  -41.0 | MSE: 0.0434 | C_Loss: 0.012 | A_Loss: 0.001 | Alpha: 0.0020
Train Ep: 088/270 | Reward:  -31.0 | MSE: 0.0472 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0020
Train Ep: 089/270 | Reward:  -44.0 | MSE: 0.0509 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0020
Train Ep: 090/270 | Reward:  -33.0 | MSE: 0.0610 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0019
Train Ep: 091/270 | Reward:  -33.0 | MSE: 0.0652 | C_Loss: 0.013 | A_Loss: 0.003 | Alpha: 0.0019
Train Ep: 092/270 | Reward:  -22.0 | MSE: 0.0529 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0019
Train Ep: 093/270 | Reward:  -17.0 | MSE: 0.0534 | C_Loss: 0.011 | A_Loss: 0.001 | Alpha: 0.0018
Train Ep: 094/270 | Reward:  -20.0 | MSE: 0.0462 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0018
Train Ep: 095/270 | Reward:  -25.0 | MSE: 0.0716 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0018
Train Ep: 096/270 | Reward:  -18.0 | MSE: 0.0446 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0017
Train Ep: 097/270 | Reward:  -24.0 | MSE: 0.0564 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0017
Train Ep: 098/270 | Reward:  -34.0 | MSE: 0.0549 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0017
Train Ep: 099/270 | Reward:  -19.0 | MSE: 0.0566 | C_Loss: 0.010 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 100/270 | Reward:  -33.0 | MSE: 0.0534 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0016
Train Ep: 101/270 | Reward:  -17.0 | MSE: 0.0443 | C_Loss: 0.009 | A_Loss: -0.000 | Alpha: 0.0016
Train Ep: 102/270 | Reward:  -39.0 | MSE: 0.0482 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0016
Train Ep: 103/270 | Reward:  -33.0 | MSE: 0.0529 | C_Loss: 0.009 | A_Loss: 0.002 | Alpha: 0.0015
Train Ep: 104/270 | Reward:  -39.0 | MSE: 0.0470 | C_Loss: 0.011 | A_Loss: -0.000 | Alpha: 0.0015
Train Ep: 105/270 | Reward:  -39.0 | MSE: 0.0479 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0015
Train Ep: 106/270 | Reward:  -31.0 | MSE: 0.0607 | C_Loss: 0.012 | A_Loss: 0.003 | Alpha: 0.0014
Train Ep: 107/270 | Reward:  -15.0 | MSE: 0.0488 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0014
Train Ep: 108/270 | Reward:  -27.0 | MSE: 0.0535 | C_Loss: 0.012 | A_Loss: 0.002 | Alpha: 0.0014
Train Ep: 109/270 | Reward:  -28.0 | MSE: 0.0665 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0014
Train Ep: 110/270 | Reward:  -21.0 | MSE: 0.0442 | C_Loss: 0.011 | A_Loss: 0.002 | Alpha: 0.0013
Train Ep: 111/270 | Reward:  -14.0 | MSE: 0.0652 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0013
Train Ep: 112/270 | Reward:  -27.0 | MSE: 0.0596 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0013
Train Ep: 113/270 | Reward:   10.0 | MSE: 0.0644 | C_Loss: 0.009 | A_Loss: 0.002 | Alpha: 0.0013
  [!] Reward crossed 0! Unlocking Validation phase for the rest of training.
Train Ep: 114/270 | Reward:  -23.0 | MSE: 0.0789 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0013
Train Ep: 115/270 | Reward:  -11.0 | MSE: 0.0573 | C_Loss: 0.007 | A_Loss: 0.000 | Alpha: 0.0012
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 438
  -> Relative Improvement: 3.311%
  *** New Best Model! Net Score improved from -inf to 0.033112582781456956 ***
[*] Models successfully saved to models/sac_gnn_36_cpu_best.pth
Train Ep: 116/270 | Reward:  -17.0 | MSE: 0.0568 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0012
Train Ep: 117/270 | Reward:  -24.0 | MSE: 0.0711 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0012
Train Ep: 118/270 | Reward:  -16.0 | MSE: 0.0593 | C_Loss: 0.008 | A_Loss: 0.000 | Alpha: 0.0012
Train Ep: 119/270 | Reward:  -22.0 | MSE: 0.0648 | C_Loss: 0.009 | A_Loss: 0.001 | Alpha: 0.0011
Train Ep: 120/270 | Reward:  -22.0 | MSE: 0.0694 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0011
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 453 | GNN Errors: 436
  -> Relative Improvement: 3.753%
  *** New Best Model! Net Score improved from 0.033112582781456956 to 0.037527593818984545 ***
[*] Models successfully saved to models/sac_gnn_36_cpu_best.pth
Train Ep: 121/270 | Reward:   -8.0 | MSE: 0.0633 | C_Loss: 0.008 | A_Loss: 0.001 | Alpha: 0.0011
Train Ep: 122/270 | Reward:  -12.0 | MSE: 0.0459 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0011
Train Ep: 123/270 | Reward:   -3.0 | MSE: 0.0493 | C_Loss: 0.009 | A_Loss: 0.000 | Alpha: 0.0011
