Job started at: Mon Apr 27 11:06:09 CEST 2026
Starting Run 50: Gamma=0.99 | Layers=1 | Mismatch=30.0 | action_scale=5 | Using P.C.
SLURM Mode Received: 0
Execution Pipeline: ['train']
Loaded Configuration: {'mode': 0, 'model_path': 'models/sac_gnn_50.pth', 'training_metrics_filename': 'training_metrics_50.png', 'distance': 5, 'n_rounds': 5, 'p': 0.004, 'p_gate_zz': 0.0, 'mismatch': 30.0, 'n_shots': 65000, 'n_test_shots': 10000, 'burn_in_steps': 15000, 'bypass_threshold': 2, 'action_scale': 5.0, 'update_period': 100, 'prior_shots': 1000, 'local_action_only': True, 'local_action_hops': 1, 'n_layers': 1, 'use_pearson_correlation': True, 'use_log_joint_prob': False, 'hidden_dim': 256, 'lr': 0.0001, 'gamma': 0.99, 'tau': 0.005, 'alpha': 0.01, 'batch_size': 64, 'buffer_capacity': 100000, 'update_frequency': 100, 'train_episodes': 350, 'test_episodes': 20}

Initializing environment...

############################################################
### RUNNING MODE: TRAIN
############################################################

========================================
STARTING TRAINING (Episodes: 350)
========================================
Train Ep: 039/350 | Reward:  -25.0 | MSE: 0.3609 | C_Loss: 0.019 | A_Loss: 0.027 | Alpha: 0.0017
Train Ep: 040/350 | Reward:  -47.0 | MSE: 0.4928 | C_Loss: 0.013 | A_Loss: 0.026 | Alpha: 0.0016
Train Ep: 041/350 | Reward:   26.0 | MSE: 0.2451 | C_Loss: 0.010 | A_Loss: 0.026 | Alpha: 0.0015
Train Ep: 042/350 | Reward:   26.0 | MSE: 0.5285 | C_Loss: 0.007 | A_Loss: 0.024 | Alpha: 0.0015
Train Ep: 043/350 | Reward:  -20.0 | MSE: 0.2883 | C_Loss: 0.006 | A_Loss: 0.023 | Alpha: 0.0014
Train Ep: 044/350 | Reward:  -19.0 | MSE: 0.3976 | C_Loss: 0.005 | A_Loss: 0.021 | Alpha: 0.0014
Train Ep: 045/350 | Reward:  -24.0 | MSE: 0.3926 | C_Loss: 0.009 | A_Loss: 0.020 | Alpha: 0.0013
Train Ep: 046/350 | Reward:  -64.0 | MSE: 0.3439 | C_Loss: 0.015 | A_Loss: 0.020 | Alpha: 0.0012
Train Ep: 047/350 | Reward:   14.0 | MSE: 0.3056 | C_Loss: 0.016 | A_Loss: 0.020 | Alpha: 0.0012
Train Ep: 048/350 | Reward:  -82.0 | MSE: 0.2534 | C_Loss: 0.016 | A_Loss: 0.019 | Alpha: 0.0011
Train Ep: 049/350 | Reward:  -57.0 | MSE: 0.3091 | C_Loss: 0.019 | A_Loss: 0.021 | Alpha: 0.0011
Train Ep: 050/350 | Reward:  -69.0 | MSE: 0.4634 | C_Loss: 0.021 | A_Loss: 0.022 | Alpha: 0.0010
Train Ep: 051/350 | Reward: -106.0 | MSE: 0.3420 | C_Loss: 0.024 | A_Loss: 0.023 | Alpha: 0.0010
Train Ep: 052/350 | Reward:    2.0 | MSE: 0.3576 | C_Loss: 0.018 | A_Loss: 0.021 | Alpha: 0.0009
Train Ep: 053/350 | Reward:  -84.0 | MSE: 0.4580 | C_Loss: 0.012 | A_Loss: 0.018 | Alpha: 0.0009
Train Ep: 054/350 | Reward:   -3.0 | MSE: 0.3773 | C_Loss: 0.012 | A_Loss: 0.018 | Alpha: 0.0009
Train Ep: 055/350 | Reward:  -37.0 | MSE: 0.3030 | C_Loss: 0.012 | A_Loss: 0.018 | Alpha: 0.0008
Train Ep: 056/350 | Reward:   16.0 | MSE: 0.3755 | C_Loss: 0.012 | A_Loss: 0.017 | Alpha: 0.0008
Train Ep: 057/350 | Reward:  -26.0 | MSE: 0.5688 | C_Loss: 0.012 | A_Loss: 0.017 | Alpha: 0.0008
Train Ep: 058/350 | Reward:  -12.0 | MSE: 0.3601 | C_Loss: 0.011 | A_Loss: 0.018 | Alpha: 0.0007
Train Ep: 059/350 | Reward:   -4.0 | MSE: 0.2808 | C_Loss: 0.008 | A_Loss: 0.018 | Alpha: 0.0007
Train Ep: 060/350 | Reward:   16.0 | MSE: 0.3882 | C_Loss: 0.006 | A_Loss: 0.017 | Alpha: 0.0007
Train Ep: 061/350 | Reward:   26.0 | MSE: 0.2938 | C_Loss: 0.008 | A_Loss: 0.015 | Alpha: 0.0006
Train Ep: 062/350 | Reward:  -11.0 | MSE: 0.3743 | C_Loss: 0.011 | A_Loss: 0.011 | Alpha: 0.0006
Train Ep: 063/350 | Reward: -162.0 | MSE: 0.3842 | C_Loss: 0.014 | A_Loss: 0.009 | Alpha: 0.0006
Train Ep: 064/350 | Reward:    8.0 | MSE: 0.3983 | C_Loss: 0.018 | A_Loss: 0.012 | Alpha: 0.0005
Train Ep: 065/350 | Reward:    4.0 | MSE: 0.2776 | C_Loss: 0.011 | A_Loss: 0.012 | Alpha: 0.0005
Train Ep: 066/350 | Reward:    9.0 | MSE: 0.2829 | C_Loss: 0.002 | A_Loss: 0.011 | Alpha: 0.0005
Train Ep: 067/350 | Reward:    5.0 | MSE: 0.3983 | C_Loss: 0.002 | A_Loss: 0.011 | Alpha: 0.0005
Train Ep: 068/350 | Reward:   15.0 | MSE: 0.4846 | C_Loss: 0.002 | A_Loss: 0.010 | Alpha: 0.0005
Train Ep: 069/350 | Reward:   -3.0 | MSE: 0.3460 | C_Loss: 0.003 | A_Loss: 0.009 | Alpha: 0.0004
Train Ep: 070/350 | Reward:    1.0 | MSE: 0.3007 | C_Loss: 0.005 | A_Loss: 0.007 | Alpha: 0.0004
Train Ep: 071/350 | Reward:    0.0 | MSE: 0.3291 | C_Loss: 0.005 | A_Loss: 0.007 | Alpha: 0.0004
Train Ep: 072/350 | Reward:    1.0 | MSE: 0.3002 | C_Loss: 0.002 | A_Loss: 0.008 | Alpha: 0.0004
Train Ep: 073/350 | Reward:    9.0 | MSE: 0.4733 | C_Loss: 0.001 | A_Loss: 0.007 | Alpha: 0.0004
Train Ep: 074/350 | Reward:   15.0 | MSE: 0.3307 | C_Loss: 0.002 | A_Loss: 0.006 | Alpha: 0.0004
Train Ep: 075/350 | Reward:    3.0 | MSE: 0.3600 | C_Loss: 0.002 | A_Loss: 0.007 | Alpha: 0.0003
Train Ep: 076/350 | Reward:   17.0 | MSE: 0.3329 | C_Loss: 0.002 | A_Loss: 0.006 | Alpha: 0.0003
Train Ep: 077/350 | Reward:    6.0 | MSE: 0.2814 | C_Loss: 0.002 | A_Loss: 0.006 | Alpha: 0.0003
Train Ep: 078/350 | Reward:   19.0 | MSE: 0.4166 | C_Loss: 0.004 | A_Loss: 0.005 | Alpha: 0.0003
Train Ep: 079/350 | Reward:   -3.0 | MSE: 0.4714 | C_Loss: 0.006 | A_Loss: 0.003 | Alpha: 0.0003
Train Ep: 080/350 | Reward:   33.0 | MSE: 0.2860 | C_Loss: 0.008 | A_Loss: 0.003 | Alpha: 0.0003
Train Ep: 081/350 | Reward:   25.0 | MSE: 0.4348 | C_Loss: 0.008 | A_Loss: 0.002 | Alpha: 0.0003
Train Ep: 082/350 | Reward:   45.0 | MSE: 0.3202 | C_Loss: 0.009 | A_Loss: 0.002 | Alpha: 0.0002
Train Ep: 083/350 | Reward:  -20.0 | MSE: 0.2493 | C_Loss: 0.010 | A_Loss: -0.001 | Alpha: 0.0002
Train Ep: 084/350 | Reward:  -69.0 | MSE: 0.3298 | C_Loss: 0.014 | A_Loss: -0.003 | Alpha: 0.0002
Train Ep: 085/350 | Reward:  -52.0 | MSE: 0.1851 | C_Loss: 0.017 | A_Loss: -0.001 | Alpha: 0.0002
Train Ep: 086/350 | Reward:  -70.0 | MSE: 0.4772 | C_Loss: 0.024 | A_Loss: 0.001 | Alpha: 0.0002
Train Ep: 087/350 | Reward:  -72.0 | MSE: 0.3076 | C_Loss: 0.022 | A_Loss: 0.004 | Alpha: 0.0002
Train Ep: 088/350 | Reward:  -32.0 | MSE: 0.3037 | C_Loss: 0.021 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 089/350 | Reward:    4.0 | MSE: 0.3368 | C_Loss: 0.014 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 090/350 | Reward:    7.0 | MSE: 0.3230 | C_Loss: 0.004 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 091/350 | Reward:  -10.0 | MSE: 0.2621 | C_Loss: 0.001 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 092/350 | Reward:   17.0 | MSE: 0.2769 | C_Loss: 0.001 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 093/350 | Reward:    9.0 | MSE: 0.3643 | C_Loss: 0.001 | A_Loss: 0.009 | Alpha: 0.0002
Train Ep: 094/350 | Reward:    1.0 | MSE: 0.3279 | C_Loss: 0.002 | A_Loss: 0.008 | Alpha: 0.0001
Train Ep: 095/350 | Reward:   11.0 | MSE: 0.2740 | C_Loss: 0.002 | A_Loss: 0.008 | Alpha: 0.0001
Train Ep: 096/350 | Reward:   -4.0 | MSE: 0.2614 | C_Loss: 0.002 | A_Loss: 0.007 | Alpha: 0.0001
Train Ep: 097/350 | Reward:   14.0 | MSE: 0.3348 | C_Loss: 0.002 | A_Loss: 0.007 | Alpha: 0.0001
Train Ep: 098/350 | Reward:    3.0 | MSE: 0.3476 | C_Loss: 0.003 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 099/350 | Reward:    1.0 | MSE: 0.5261 | C_Loss: 0.003 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 100/350 | Reward:   24.0 | MSE: 0.2667 | C_Loss: 0.003 | A_Loss: 0.005 | Alpha: 0.0001
Train Ep: 101/350 | Reward:   -4.0 | MSE: 0.3046 | C_Loss: 0.004 | A_Loss: 0.005 | Alpha: 0.0001
Train Ep: 102/350 | Reward:   -2.0 | MSE: 0.3850 | C_Loss: 0.009 | A_Loss: 0.005 | Alpha: 0.0001
Train Ep: 103/350 | Reward:    5.0 | MSE: 0.2644 | C_Loss: 0.011 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 104/350 | Reward:   15.0 | MSE: 0.3417 | C_Loss: 0.008 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 105/350 | Reward:   28.0 | MSE: 0.4213 | C_Loss: 0.003 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 106/350 | Reward:   12.0 | MSE: 0.4661 | C_Loss: 0.002 | A_Loss: 0.004 | Alpha: 0.0001
Train Ep: 107/350 | Reward:   -7.0 | MSE: 0.2432 | C_Loss: 0.003 | A_Loss: 0.003 | Alpha: 0.0001
Train Ep: 108/350 | Reward:   20.0 | MSE: 0.2611 | C_Loss: 0.002 | A_Loss: 0.003 | Alpha: 0.0001
Train Ep: 109/350 | Reward:   32.0 | MSE: 0.3268 | C_Loss: 0.003 | A_Loss: 0.002 | Alpha: 0.0001
Train Ep: 110/350 | Reward:   21.0 | MSE: 0.3501 | C_Loss: 0.006 | A_Loss: 0.001 | Alpha: 0.0001
Train Ep: 111/350 | Reward:    6.0 | MSE: 0.2827 | C_Loss: 0.008 | A_Loss: -0.000 | Alpha: 0.0001
Train Ep: 112/350 | Reward:  -80.0 | MSE: 0.3172 | C_Loss: 0.010 | A_Loss: 0.001 | Alpha: 0.0001
Train Ep: 113/350 | Reward:  -97.0 | MSE: 0.3177 | C_Loss: 0.013 | A_Loss: 0.003 | Alpha: 0.0001
Train Ep: 114/350 | Reward:   61.0 | MSE: 0.2960 | C_Loss: 0.013 | A_Loss: 0.006 | Alpha: 0.0001
Train Ep: 115/350 | Reward:   32.0 | MSE: 0.3020 | C_Loss: 0.013 | A_Loss: 0.003 | Alpha: 0.0001
Train Ep: 116/350 | Reward:   39.0 | MSE: 0.2675 | C_Loss: 0.019 | A_Loss: -0.001 | Alpha: 0.0001
Train Ep: 117/350 | Reward:   89.0 | MSE: 0.2752 | C_Loss: 0.022 | A_Loss: -0.003 | Alpha: 0.0001
Train Ep: 118/350 | Reward:   59.0 | MSE: 0.1951 | C_Loss: 0.022 | A_Loss: -0.006 | Alpha: 0.0001
Train Ep: 119/350 | Reward:   54.0 | MSE: 0.2918 | C_Loss: 0.019 | A_Loss: -0.007 | Alpha: 0.0001
Train Ep: 120/350 | Reward:   57.0 | MSE: 0.3593 | C_Loss: 0.015 | A_Loss: -0.009 | Alpha: 0.0001
Train Ep: 121/350 | Reward:   22.0 | MSE: 0.2510 | C_Loss: 0.016 | A_Loss: -0.013 | Alpha: 0.0000
Train Ep: 122/350 | Reward:   54.0 | MSE: 0.4659 | C_Loss: 0.012 | A_Loss: -0.014 | Alpha: 0.0000
Train Ep: 123/350 | Reward:   30.0 | MSE: 0.3098 | C_Loss: 0.010 | A_Loss: -0.016 | Alpha: 0.0000
Train Ep: 124/350 | Reward:   62.0 | MSE: 0.2344 | C_Loss: 0.010 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 125/350 | Reward:   22.0 | MSE: 0.3218 | C_Loss: 0.009 | A_Loss: -0.019 | Alpha: 0.0000
Train Ep: 126/350 | Reward:    8.0 | MSE: 0.2492 | C_Loss: 0.006 | A_Loss: -0.019 | Alpha: 0.0000
Train Ep: 127/350 | Reward:   15.0 | MSE: 0.4054 | C_Loss: 0.003 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 128/350 | Reward:   11.0 | MSE: 0.3848 | C_Loss: 0.002 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 129/350 | Reward:    5.0 | MSE: 0.3255 | C_Loss: 0.003 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 130/350 | Reward:   17.0 | MSE: 0.3913 | C_Loss: 0.004 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 131/350 | Reward:    0.0 | MSE: 0.2595 | C_Loss: 0.008 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 132/350 | Reward:  -25.0 | MSE: 0.2764 | C_Loss: 0.010 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 133/350 | Reward:  -11.0 | MSE: 0.3637 | C_Loss: 0.014 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 134/350 | Reward:    2.0 | MSE: 0.4137 | C_Loss: 0.012 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 135/350 | Reward:  -12.0 | MSE: 0.4439 | C_Loss: 0.006 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 136/350 | Reward:  -58.0 | MSE: 0.2850 | C_Loss: 0.009 | A_Loss: -0.015 | Alpha: 0.0000
Train Ep: 137/350 | Reward:   13.0 | MSE: 0.2390 | C_Loss: 0.014 | A_Loss: -0.013 | Alpha: 0.0000
Train Ep: 138/350 | Reward:   22.0 | MSE: 0.2954 | C_Loss: 0.009 | A_Loss: -0.011 | Alpha: 0.0000
Train Ep: 139/350 | Reward:   17.0 | MSE: 0.3474 | C_Loss: 0.004 | A_Loss: -0.012 | Alpha: 0.0000
Train Ep: 140/350 | Reward:   55.0 | MSE: 0.3709 | C_Loss: 0.007 | A_Loss: -0.013 | Alpha: 0.0000
Train Ep: 141/350 | Reward:    2.0 | MSE: 0.2674 | C_Loss: 0.011 | A_Loss: -0.015 | Alpha: 0.0000
Train Ep: 142/350 | Reward:  -18.0 | MSE: 0.2984 | C_Loss: 0.017 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 143/350 | Reward:   24.0 | MSE: 0.3738 | C_Loss: 0.012 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 144/350 | Reward:   24.0 | MSE: 0.3129 | C_Loss: 0.005 | A_Loss: -0.016 | Alpha: 0.0000
Train Ep: 145/350 | Reward:   54.0 | MSE: 0.3285 | C_Loss: 0.006 | A_Loss: -0.017 | Alpha: 0.0000
Train Ep: 146/350 | Reward:   31.0 | MSE: 0.3205 | C_Loss: 0.007 | A_Loss: -0.018 | Alpha: 0.0000
Train Ep: 147/350 | Reward:   24.0 | MSE: 0.3984 | C_Loss: 0.004 | A_Loss: -0.019 | Alpha: 0.0000
Train Ep: 148/350 | Reward:   12.0 | MSE: 0.3452 | C_Loss: 0.003 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 149/350 | Reward:    9.0 | MSE: 0.3169 | C_Loss: 0.001 | A_Loss: -0.021 | Alpha: 0.0000
Train Ep: 150/350 | Reward:   12.0 | MSE: 0.3193 | C_Loss: 0.001 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 151/350 | Reward:    4.0 | MSE: 0.4110 | C_Loss: 0.001 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 152/350 | Reward:   26.0 | MSE: 0.2744 | C_Loss: 0.001 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 153/350 | Reward:   33.0 | MSE: 0.2983 | C_Loss: 0.005 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 154/350 | Reward:   -4.0 | MSE: 0.2749 | C_Loss: 0.004 | A_Loss: -0.021 | Alpha: 0.0000
Train Ep: 155/350 | Reward:   32.0 | MSE: 0.3830 | C_Loss: 0.004 | A_Loss: -0.019 | Alpha: 0.0000
Train Ep: 156/350 | Reward:   14.0 | MSE: 0.3275 | C_Loss: 0.006 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 157/350 | Reward:  -15.0 | MSE: 0.2881 | C_Loss: 0.010 | A_Loss: -0.019 | Alpha: 0.0000
Train Ep: 158/350 | Reward:   30.0 | MSE: 0.2509 | C_Loss: 0.006 | A_Loss: -0.020 | Alpha: 0.0000
Train Ep: 159/350 | Reward:  103.0 | MSE: 0.4289 | C_Loss: 0.006 | A_Loss: -0.021 | Alpha: 0.0000
  [!] Reward crossed 100! Unlocking Validation phase for the rest of training.
Train Ep: 160/350 | Reward:   70.0 | MSE: 0.2391 | C_Loss: 0.016 | A_Loss: -0.025 | Alpha: 0.0000
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 5195 | GNN Errors: 4988
  -> Relative Improvement: 3.985%
  *** New Best Model! Net Score improved from -inf to 0.03984600577478344 ***
[*] Models successfully saved to models/sac_gnn_50_best.pth
Train Ep: 161/350 | Reward:  113.0 | MSE: 0.3250 | C_Loss: 0.017 | A_Loss: -0.029 | Alpha: 0.0000
Train Ep: 162/350 | Reward:   91.0 | MSE: 0.2813 | C_Loss: 0.013 | A_Loss: -0.031 | Alpha: 0.0000
Train Ep: 163/350 | Reward:   78.0 | MSE: 0.3962 | C_Loss: 0.010 | A_Loss: -0.034 | Alpha: 0.0000
Train Ep: 164/350 | Reward:   55.0 | MSE: 0.2892 | C_Loss: 0.010 | A_Loss: -0.035 | Alpha: 0.0000
Train Ep: 165/350 | Reward:   24.0 | MSE: 0.2465 | C_Loss: 0.008 | A_Loss: -0.036 | Alpha: 0.0000
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 5195 | GNN Errors: 5039
  -> Relative Improvement: 3.003%
Train Ep: 166/350 | Reward:   41.0 | MSE: 0.2272 | C_Loss: 0.006 | A_Loss: -0.037 | Alpha: 0.0000
Train Ep: 167/350 | Reward:   77.0 | MSE: 0.3886 | C_Loss: 0.005 | A_Loss: -0.038 | Alpha: 0.0000
Train Ep: 168/350 | Reward:   46.0 | MSE: 0.3321 | C_Loss: 0.006 | A_Loss: -0.039 | Alpha: 0.0000
Train Ep: 169/350 | Reward:   23.0 | MSE: 0.3660 | C_Loss: 0.007 | A_Loss: -0.040 | Alpha: 0.0000
Train Ep: 170/350 | Reward:    5.0 | MSE: 0.2792 | C_Loss: 0.003 | A_Loss: -0.039 | Alpha: 0.0000
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 5195 | GNN Errors: 5195
  -> Relative Improvement: 0.000%
Train Ep: 171/350 | Reward:    9.0 | MSE: 0.3661 | C_Loss: 0.002 | A_Loss: -0.038 | Alpha: 0.0000
Train Ep: 172/350 | Reward:    7.0 | MSE: 0.3664 | C_Loss: 0.002 | A_Loss: -0.036 | Alpha: 0.0000
Train Ep: 173/350 | Reward:   32.0 | MSE: 0.2480 | C_Loss: 0.001 | A_Loss: -0.036 | Alpha: 0.0000
Train Ep: 174/350 | Reward:   38.0 | MSE: 0.4728 | C_Loss: 0.002 | A_Loss: -0.035 | Alpha: 0.0000
Train Ep: 175/350 | Reward:    0.0 | MSE: 0.3949 | C_Loss: 0.004 | A_Loss: -0.036 | Alpha: 0.0000
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 5195 | GNN Errors: 5193
  -> Relative Improvement: 0.038%
Train Ep: 176/350 | Reward:   44.0 | MSE: 0.2820 | C_Loss: 0.003 | A_Loss: -0.036 | Alpha: 0.0000
Train Ep: 177/350 | Reward: -141.0 | MSE: 0.3629 | C_Loss: 0.012 | A_Loss: -0.034 | Alpha: 0.0000
Train Ep: 178/350 | Reward:    2.0 | MSE: 0.2584 | C_Loss: 0.014 | A_Loss: -0.032 | Alpha: 0.0000
Train Ep: 179/350 | Reward:  -22.0 | MSE: 0.4490 | C_Loss: 0.005 | A_Loss: -0.030 | Alpha: 0.0000
Train Ep: 180/350 | Reward:   13.0 | MSE: 0.2716 | C_Loss: 0.007 | A_Loss: -0.029 | Alpha: 0.0000
  [!] Running Isolated Validation (Pure CMA vs GNN)...
  -> Val Results: Pure Baseline Errors: 5195 | GNN Errors: 5193
  -> Relative Improvement: 0.038%
Train Ep: 181/350 | Reward:   10.0 | MSE: 0.4116 | C_Loss: 0.009 | A_Loss: -0.027 | Alpha: 0.0000
