distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.007,cm,0.5,1000000,27134,0.027134,0.00016247383187455142,10.4573,10.4573,0,0
5,5,0.007,cm,0.6,1000000,26731,0.026731,0.0001612961674653183,10.3079,10.3079,0,0
5,5,0.007,cm,0.7,1000000,26523,0.026523,0.00016068456824163297,10.2973,10.2973,0,0
5,5,0.007,cm,0.8,1000000,26432,0.026432,0.00016041617554349064,10.3165,10.3165,0,0
5,5,0.007,cm,1.0,1000000,26348,0.026348,0.0001601679833674633,8.1534,8.1534,1,0
5,5,0.007,mwpm,,1000000,33995,0.033995,0.00018121627955291434,3.3022,3.3022,0,0
