distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
7,7,0.01,cm,0.6,1000000,80555,0.080555,0.00027215049508498053,57.1961,57.1961,0,1
7,7,0.01,cm,0.7,1000000,79695,0.079695,0.00027082043308251317,58.5563,58.5563,0,1
7,7,0.01,cm,0.8,1000000,79324,0.079324,0.00027024378443176085,58.0848,58.0848,0,1
7,7,0.01,cm,0.9,1000000,79170,0.07917,0.0002700039094161416,58.6645,58.6645,1,1
7,7,0.01,cm,1.0,1000000,79386,0.079386,0.00027034027262692477,46.9164,46.9164,0,1
7,7,0.01,mwpm,,1000000,100773,0.100773,0.0003010279097874481,19.6279,19.6279,0,1
