distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,0.007,cm,0.6,1000000,29310,0.02931,0.0001686740166712111,1.1717,1.1717,0,1
3,3,0.007,cm,0.7,1000000,29207,0.029207,0.00016838631521296497,1.158,1.158,0,1
3,3,0.007,cm,0.8,1000000,29143,0.029143,0.00016820726961400926,1.1587,1.1587,0,1
3,3,0.007,cm,0.9,1000000,29129,0.029129,0.0001681680747317992,1.1628,1.1628,1,1
3,3,0.007,cm,1.0,1000000,29220,0.02922,0.000168422657620642,0.9059,0.9059,0,1
3,3,0.007,mwpm,,1000000,31286,0.031286,0.0001740895924631912,0.3103,0.3103,0,1
