distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.01,cm,0.6,1000000,70499,0.070499,0.0002559861148558648,15.4271,15.4271,0,1
5,5,0.01,cm,0.7,1000000,70037,0.070037,0.0002552093623498166,15.2854,15.2854,0,1
5,5,0.01,cm,0.8,1000000,69677,0.069677,0.0002546018768018021,15.3758,15.3758,0,1
5,5,0.01,cm,0.9,1000000,69586,0.069586,0.00025444800766364825,15.4422,15.4422,1,1
5,5,0.01,cm,1.0,1000000,69599,0.069599,0.00025446999665775926,12.4762,12.4762,0,1
5,5,0.01,mwpm,,1000000,81872,0.081872,0.000274169611036672,5.1582,5.1582,0,1
