distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
7,7,0.0004,cm,0.1,5374000000,877,1.6319315221436545e-07,5.510640746837631e-09,9212.6238,1.7143,0,0
7,7,0.0004,cm,0.2,5374000000,793,1.4756233717901005e-07,5.240091850197395e-09,9217.4398,1.7152,0,0
7,7,0.0004,cm,0.3,5374000000,772,1.436546334201712e-07,5.170243018828729e-09,9227.8044,1.7171,1,0
7,7,0.0004,cm,0.4,5374000000,773,1.4384071455154446e-07,5.173590537648442e-09,9232.5893,1.718,0,0
7,7,0.0004,cm,1.0,5374000000,990,1.8422032005954595e-07,5.85490557255785e-09,6375.1548,1.1863,0,0
7,7,0.0004,mwpm,,5374000000,2421,4.5050241905470785e-07,9.15587036051086e-09,2679.775,0.4987,0,0
