distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.0002,cm,0.15,1711000000,1001,5.850379894798364e-07,1.849127690486534e-08,517.8571,0.3027,1,1
5,5,0.0002,cm,0.2,1711000000,1002,5.856224430157803e-07,1.850051099586718e-08,517.7395,0.3026,0,1
5,5,0.0002,cm,0.25,1711000000,1005,5.873758036236119e-07,1.852818565626962e-08,517.9687,0.3027,0,1
5,5,0.0002,cm,0.3,1711000000,1053,6.154295733489188e-07,1.89654888917834e-08,517.9848,0.3027,0,1
5,5,0.0002,cm,1.0,1711000000,1539,8.994739918176505e-07,2.2928154791723583e-08,392.7902,0.2296,0,1
5,5,0.0002,mwpm,,1711000000,1782,1.0414962010520163e-06,2.4671957834996646e-08,205.4757,0.1201,0,1
