distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.0001,cm,0.07,14192000000,1024,7.21533258173619e-08,2.254791350447207e-09,2736.6632,0.1928,0,0
5,5,0.0001,cm,0.1,14192000000,1000,7.046223224351748e-08,2.228211350590337e-09,2733.1843,0.1926,1,0
5,5,0.0001,cm,0.15,14192000000,1012,7.130777903043969e-08,2.2415407487989047e-09,2735.0272,0.1927,0,0
5,5,0.0001,cm,0.2,14192000000,1080,7.609921082299887e-08,2.3156251550079135e-09,2735.5801,0.1928,0,0
5,5,0.0001,cm,1.0,14192000000,2248,1.583990980834273e-07,3.340831074508471e-09,2220.1599,0.1564,0,0
5,5,0.0001,mwpm,,14192000000,1899,1.3380777903043969e-07,3.0705689278111863e-09,1384.1758,0.0975,0,0
