distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.001,cm,0.3,14000000,1065,7.607142857142857e-05,2.3309354607291356e-06,17.7615,1.2687,0,0
5,5,0.001,cm,0.4,14000000,1057,7.55e-05,2.322164934310838e-06,17.7719,1.2694,1,0
5,5,0.001,cm,0.5,14000000,1058,7.557142857142857e-05,2.3232630613399313e-06,17.7909,1.2708,0,0
5,5,0.001,cm,0.6,14000000,1058,7.557142857142857e-05,2.3232630613399313e-06,17.8483,1.2749,0,0
5,5,0.001,cm,1.0,14000000,1122,8.014285714285715e-05,2.3924947270475723e-06,12.7555,0.9111,0,0
5,5,0.001,mwpm,,14000000,1906,0.00013614285714285714,3.1181991399032383e-06,4.7989,0.3428,0,0
