distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.0004,cm,0.1,202000000,1052,5.2079207920792075e-06,1.605666585250566e-07,107.0366,0.5299,0,0
5,5,0.0004,cm,0.2,202000000,1015,5.0247524752475244e-06,1.577177455549033e-07,107.1224,0.5303,0,0
5,5,0.0004,cm,0.3,202000000,1006,4.98019801980198e-06,1.570169508637927e-07,107.3061,0.5312,1,0
5,5,0.0004,cm,0.4,202000000,1026,5.0792079207920795e-06,1.5857006638287128e-07,107.3416,0.5314,0,0
5,5,0.0004,cm,1.0,202000000,1252,6.198019801980198e-06,1.7516585332462553e-07,77.9099,0.3857,0,0
5,5,0.0004,mwpm,,202000000,1746,8.643564356435643e-06,2.068563576474329e-07,34.2234,0.1694,0,0
