distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
5,5,0.004,cm,0.5,1000000,5243,0.005243,7.221849452183284e-05,5.6422,5.6422,0,1
5,5,0.004,cm,0.6,1000000,5169,0.005169,7.170970254435588e-05,5.6434,5.6434,0,1
5,5,0.004,cm,0.7,1000000,5123,0.005123,7.139156022248008e-05,5.5896,5.5896,0,1
5,5,0.004,cm,0.8,1000000,5097,0.005097,7.121109879084861e-05,5.5188,5.5188,1,1
5,5,0.004,cm,1.0,1000000,5113,0.005113,7.132220713774918e-05,4.1727,4.1727,0,1
5,5,0.004,mwpm,,1000000,7450,0.00745,8.599126409118545e-05,1.6347,1.6347,0,1
